"case_name","docket","ALITO","BARRETT","GORSUCH","JACKSON","KAGAN","KAVANAUGH","ROBERTS","SOTOMAYOR","THOMAS"
"Wisconsin Bell, Inc. v. United States, Ex Rel. Todd Heath","23-1127",1.01,4.99,4.18,7.4,4.41,3.75,3.85,4.91,3.43
"E.m.d. Sales, Inc., Et Al. v. Faustino Sanchez Carrera, Et Al.","23-217",1.68,0,0,3.95,1.26,0.7,2.52,1.3,0.77
"Advocate Christ Medical Center, Et Al. v. Xavier Becerra, Secretary Of Health And Human Services","23-715",1.11,1.19,1.83,8.38,5.84,6.23,0.63,3.35,0.8
"Salvatore Delligatti v. United States","23-825",0.56,1.34,7.58,7.29,3.14,0.58,1.66,1.12,1.45
"Hugo Abisai Monsalvo Velazquez v. Merrick B. Garland, Attorney General","23-929",2.43,1.43,3.33,6.61,5.08,1.45,1.9,5.32,0.97
"Nvidia Corporation, Et Al. v. E.  Ohman J:Or Fonder Ab, Et Al.","23-970",4.25,0.9,3.97,7.02,4.47,2.07,4.19,5.32,0.75
"Facebook, Inc., Et Al. v. Amalgamated Bank, Et Al.","23-980",6.76,3.66,5.27,7.39,6.51,5.16,3.61,4.45,3.02
