Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Cox Communications v. Sony Music Entertainment,24-171,E. Joshua Rosenkranz,723,291,297,444,339,291,190,331,570
Cox Communications v. Sony Music Entertainment,24-171,Malcolm L. Stewart,145,185,0,313,0,375,680,521,0
Cox Communications v. Sony Music Entertainment,24-171,Paul D. Clement,348,330,533,284,393,465,1073,291,806
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,Max E. Schulman,218,103,0,128,601,0,465,141,58
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,Paul D. Clement,663,382,0,209,251,450,1344,659,107
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,Shay Dvoretzky,923,354,0,432,0,95,630,384,652
NRSC v. FEC,24-621,Marc E. Elias,173,598,640,334,897,0,144,257,59
NRSC v. FEC,24-621,Noel J. Francisco,1051,612,405,357,1051,0,483,0,1026
NRSC v. FEC,24-621,Roman Martinez,1763,337,485,616,0,0,889,0,0
NRSC v. FEC,24-621,Sarah M. Harris,137,341,339,621,655,0,619,0,913
Urias-Orellana v. Bondi, Att'y Gen.,24-777,Joshua Dos Santos,806,0,0,85,362,366,796,0,181
Urias-Orellana v. Bondi, Att'y Gen.,24-777,Nicholas Rosellini,1473,109,709,488,745,542,269,0,663
First Choice Women's Resource Centers v. Platkin,24-781,Erin M. Hawley,1043,295,116,175,242,282,0,133,574
First Choice Women's Resource Centers v. Platkin,24-781,Sundeep Iyer,1056,625,358,0,531,543,227,840,512
First Choice Women's Resource Centers v. Platkin,24-781,Vivek Suri,131,164,80,51,118,201,87,241,65
Hamm v. Smith,24-872,Harry Graver,166,107,492,595,281,469,528,274,353
Hamm v. Smith,24-872,Robert M. Overing,772,122,0,383,371,141,580,304,558
Hamm v. Smith,24-872,Seth P. Waxman,313,211,825,347,361,314,69,281,539
Olivier v. City of Brandon,24-993,Allyson N. Ho,1177,214,444,277,421,411,86,229,372
Olivier v. City of Brandon,24-993,Ashley Robertson,162,234,463,284,0,310,0,0,410
Olivier v. City of Brandon,24-993,G. Todd Butler,707,293,253,218,486,87,1,0,598
Trump, President of United States v. Slaughter,25-332,Amit Agarwal,1185,792,1163,96,985,1129,1369,769,735
Trump, President of United States v. Slaughter,25-332,D. John Sauer,1415,97,342,593,874,269,841,654,400
