case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Cox Communications v. Sony Music Entertainment,24-171,232,229,434,928,828,1035,730,774,971
NRSC v. FEC,24-621,528,227,743,1486,1517,0,744,129,1259
Urias-Orellana v. Bondi, Att'y Gen.,24-777,145,17,183,485,692,535,370,0,957
First Choice Women's Resource Centers v. Platkin,24-781,459,363,416,365,641,924,201,1009,1016
Hamm v. Smith,24-872,215,170,1395,2222,1475,904,1018,451,1989
Olivier v. City of Brandon,24-993,399,227,865,801,645,648,73,162,1184
Trump, President of United States v. Slaughter,25-332,949,564,1340,1025,1643,1256,2138,1543,1883
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,326,59,0,921,575,405,1239,428,798
