Case,Docket,Date Argued,Date Decided,Lower Court,Decision,Author,Coalition
T. M. v. Univ. of MD Medical Sys. Corp.,25-197,04/20/26,06/18/26,CA4,Affirm,Sotomayor,(5-4)
McCarthy v. Hernandez,25-748, ,06/22/26,CA2,GRR,Per Curiam,(6-3)
Cisco Systems Inc. v. DOE I,24-856,04/28/26,06/23/26,CA9,Reverse and Remand,Barrett,(6-3)
Exxon Mobil Corp. v. Corporacion Cimex S.A.,24-699,02/23/26,06/23/26,CADC,Reverse and Remand,Kavanaugh,(6-3)
Landor v. LA DOC,23-1197,11/10/25,06/23/26,CA5,Affirm,Gorsuch,(6-3)
Pung v. Isabella County,25-95,02/25/26,06/23/26,CA6,Vacate and Remand,Alito,(9-0)
Blanche Acting Atty Gen. v. Lau,25-429,04/22/26,06/23/26,CA2,Vacate and Remand,Thomas,(6-3)
Monsanto Co. v. Durnell,24-1068,04/27/26,06/25/26,CAMOE,Reverse and Remand,Kavanaugh,(7-2)
Wolford v. Lopez,24-1046,01/20/26,06/25/26,CA9,Reverse and Remand,Alito,(6-3)
Mullin Sec. of Homeland v. Al Otro Lado,25-5,03/24/26,06/25/26,CA9,Reverse and Remand,Alito,(6-3)
Mullin Sec. of Homeland Security v. Doe,25-1083 (25-1084),04/29/26,06/25/26,CA2 (CADC),Reverse and Remand,Alito,(6-3)
Watson v. RNC,24-1260,03/23/26,06/29/26,CA5,Reverse and Remand,Barrett,(5-4)
