Case,Docket,Date Argued,Date Decided,Lower Court,Decision,Author,Coalition
Chatrie v. United States,25-112,04/27/26,06/29/26,CA4,Vacate and Remand,Kagan,(6-3)
Trump President of U.S. v. Cook,25A312,01/21/26,06/29/26,CADC,Deny,Roberts,(5-4)
Trump President of United States v. Slaughter,25-332 (25A264),12/08/25,06/29/26,CADC (CADC),Reverse and Remand,Roberts,(6-3)
West Virginia v. B.P.J.,24-43,01/13/26,06/30/26,CA4,Reverse and Remand,Kavanaugh,(9-0)
Little v. Hecox,24-38,01/13/26,06/30/26,CA9,Reverse and Remand,Kavanaugh,(9-0)
NRSC v. FEC,24-621,12/09/25,06/30/26,CA6,Reverse and Remand,Kavanaugh,(6-3)
Trump v. Barbara,25-365,04/01/26,06/30/26,CA1,Affirm,Roberts,(6-3)
