Case,Docket,Date Argued,Date Decided,Lower Court,Decision,Author,Coalition
USPS v. Konan,24-351,10/08/25,02/24/26,CA5,Vacate and Remand,Thomas,(5-4)
Villarreal v. Texas,24-557,10/06/25,02/25/26,TXCRIM,Affirm,Jackson,(9-0)
Urias-Orellana v. Bondi Att'y Gen.,24-777,12/01/25,03/04/26,CA1,Affirm,Jackson,(9-0)
Olivier v. City of Brandon,24-993,12/03/25,03/20/26,CA5,Affirm,Kagan,(9-0)
Zorn v. Linton,25-297, ,03/23/26,CA2,Reverse,Per Curiam,(6-3)
Rico v. United States,24-1056,11/03/25,03/25/26,CA9,Reverse and Remand,Gorsuch,(8-1)
Havana Docks Corp. v. Royal Carribean Cruises,24-983,02/23/26,05/21/26,CA11,Vacate and Remand,Thomas,(8-1)
M \and K Employee Solutions v. Trustees of the IAM Pension Fund,23-1209,01/20/26,05/21/26,CADC,Affirm,Jackson,(9-0)
Hamm v. Smith,24-872,12/10/25,05/21/26,CA11,DIG,Per Curiam,(7-2)
Margolin v. NAIJ,25-767, ,05/26/26,CA4,GRR,Per Curiam,Per Curiam
Flowers Foods Inc. v. Brock,24-935,03/25/26,05/28/26,CA10,Affirm,Gorsuch,(9-0)
Pitts v. Mississippi,24-1159, ,11/24/25,SCMS,Reverse,Per Curiam,(9-0)
