Case,Docket,Author,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
USPS v. Konan,24-351,Thomas,M,M*,M,D,JD,JD,M,M,JD
Villarreal v. Texas,24-557,Jackson,M,CJ,RC,M,M,JCJ,M,M,M*
Urias-Orellana v. Bondi Att'y Gen.,24-777,Jackson,M,M,M,M,M,M,M,M,M*
Olivier v. City of Brandon,24-993,Kagan,M,M,M,M,M*,M,M,M,M
Zorn v. Linton,25-297,Per Curiam,M,M,M,D,JD,M,M,M,JD
Rico v. United States,24-1056,Gorsuch,M,M,D,M,M,M*,M,M,M
Havana Docks Corp. v. Royal Carribean Cruises,24-983,Thomas,M,M*,M,RC,D,M,JRC,M,M
M \and K Employee Solutions v. Trustees of the IAM Pension Fund,23-1209,Jackson,M,M,M,M,M,M,M,M,M*
Hamm v. Smith,24-872,Per Curiam,M,D,D,RC,JRC,M,M,M,M
Margolin v. NAIJ,25-767,Per Curiam,M,RC,M,M,M,M,M,M,M
Flowers Foods Inc. v. Brock,24-935,Gorsuch,M,M,M,M,M,M*,M,M,M
Pitts v. Mississippi,24-1159,Per Curiam,M,M,M,M,M,M,M,M,M
