Case,Docket,Author,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
USPS v. Konan,24-351,Thomas,M,M*,M,D,JD,JD,M,M,JD
Hain Celestial Group v. Palmquist,24-724,Sotomayor,M,RC,M,M*,M,M,M,M,M
GEO Group Inc. v. Menocal,24-758,Kagan,M,SC,CJ,M,M*,M,M,M,M
Villarreal v. Texas,24-557,Jackson,M,CJ,RC,M,M,JCJ,M,M,M*
Mirabelli v. Bonta,25A810,Per Curiam,M,998,998,WNGC,M,M,M,M,M
Galette v. NJ Transit Corp.,24-1021,Sotomayor,M,M,M,M*,M,M,M,M,M
Urias-Orellana v. Bondi Att'y Gen.,24-777,Jackson,M,M,M,M,M,M,M,M,M*
