Case,Docket,Author,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Chatrie v. United States,25-112,Kagan,M,JD,D,JRC,M*,CJ,M,D-JD,RC
Trump President of U.S. v. Cook,25A312,Roberts,M*,D,D,M,M,JD,RC,D,RC
Trump President of United States v. Slaughter,25-332,Roberts,M*,M,M,D,JD,RC,M,M,JD
West Virginia v. B.P.J.,24-43,Kavanaugh,M,RC,M,SC,JSC,RC,M*,M,SC
Little v. Hecox,24-38,Kavanaugh,M,RC,M,D,JD,RC,M*,M,D
NRSC v. FEC,24-621,Kavanaugh,M,M,M,JD,D,M,M*,M,JD
Trump v. Barbara,25-365,Roberts,M*,D,D,JRC,M,D-JD,SC,M,RC
