Case,Docket,Author,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Pitchford v. Cain,24-7351,Kavanaugh,M,JD,JD,M,M,D,M*,JD,M
Fernandez v. United States,24-556,Barrett,M,M,M,CJ,JCJ,M,M,M*,D
Rutherford v. United States,24-820,Barrett,M,M,M,D,JD,M,M,M*,JD
Whitton v. Dixon,25-580,Per Curiam,M,D,JD,M,M,M,M,M,M
FCC v. AT\andT,25-406,Roberts,M*,D,M,M,M,M,M,M,M
Sripetch v. SEC,25-466,Gorsuch,M,RC,M,M,M,M*,M,M,M
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma Inc.,24-889,Jackson,M,M,M,M,M,M,M,M,M*
Abouammo v. United States,25-5146,Kagan,M,M,M,M,M*,M,M,M,M
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,Barrett,M,M,M,JD,D-JD,M,M,M*,D
Keathley v. Buddy Ayers Construction Inc.,25-6,Jackson,M,RC,M,RC,M,JRC,M,M,M*
United States v. Hemani,24-1234,Gorsuch,M,RC,CJ,JRC,JCJ,M*,M,M,RC
Hunter v. United States,24-1063,Kagan,M,D,JRC,JRC,M*,RC,RC,RC-JRC,JRC
