Case,Docket,Date Argued,Date Decided,Lower Court,Decision,Author,Coalition
Pitchford v. Cain,24-7351,03/31/26,05/28/26,CA5,Reverse and Remand,Kavanaugh,(5-4)
Fernandez v. United States,24-556,11/12/25,05/28/26,CA2,Affirm,Barrett,(8-1)
Rutherford v. United States,24-820,11/12/25,05/28/26,CA3,Affirm,Barrett,(6-3)
Whitton v. Dixon,25-580, ,06/01/26,CA11,GVR,Per Curiam,(7-2)
FCC v. AT\andT,25-406 (25-567),04/21/26,06/04/26,CA5 (CA2),Reverse and Remand,Roberts,(8-1)
Sripetch v. SEC,25-466,04/20/26,06/04/26,CA9,Affirm,Gorsuch,(9-0)
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma Inc.,24-889,04/29/26,06/04/26,CAFED,Reverse and Remand,Jackson,(9-0)
Abouammo v. United States,25-5146,03/30/26,06/11/26,CA9,Reverse and Remand,Kagan,(9-0)
FS Credit Opportunities Corp. v. Saba Capital Master Fund,24-345,12/10/25,06/11/26,CA2,Reverse and Remand,Barrett,(6-3)
Keathley v. Buddy Ayers Construction Inc.,25-6,03/24/26,06/11/26,CA5,Vacate and Remand,Jackson,(9-0)
United States v. Hemani,24-1234,03/02/26,06/18/26,CA5,Affirm,Gorsuch,(9-0)
Hunter v. United States,24-1063,03/03/26,06/18/26,CA5,Vacate and Remand,Kagan,(8-1)
