Case,Docket,Date Argued,Date Decided,Lower Court,Decision,Author,Coalition
Ellingburg v. United States,24-482,10/14/25,01/20/26,CA8,Reverse and Remand,Kavanaugh,(9-0)
Klein v. Martin,25-51, ,01/26/26,CA4,GRR,Per Curiam,(8-1)
Learning Resource Inc. v. Trump President of U.S.,24-1287 (25-250),11/05/25,02/20/26,CADC (CAFED),Vacate and Remand,Roberts,(6-3)
Hain Celestial Group v. Palmquist,24-724,11/04/25,02/24/26,CA5,Affirm and Remand,Sotomayor,(9-0)
GEO Group Inc. v. Menocal,24-758,11/10/25,02/25/26,CA10,Affirm and Remand,Kagan,(9-0)
Mirabelli v. Bonta,25A810, ,03/02/26,CA9,Grant,Per Curiam,Per Curiam
Galette v. NJ Transit Corp.,24-1021 (24-1113),01/14/26,03/04/26,SCPA (CANY),Affirm and Remand,Sotomayor,(9-0)
Enbridge Energy LP v. Nessel,24-783,02/26/26,04/22/26,CA6,Affirm,Sotomayor,(9-0)
Hencely v. Flour Corp,24-924,11/03/25,04/22/26,CA4,Vacate and Remand,Thomas,(6-3)
First Choice Women's Resource Centers v. Platkin,24-781,12/02/25,04/29/26,CA3,Reverse and Remand,Gorsuch,(9-0)
Louisiana v. Callais,24-109 (24-110),10/15/25,04/29/26,WDLA (WDLA),Affirm and Remand,Alito,(6-3)
Jules v. Andre Balazs Properties,25-83,03/30/26,05/14/26,CA2,Affirm,Sotomayor,(9-0)
