case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Watson v. RNC,24-1260,219,255,842,1657,1021,1690,686,1866,2034
Pitchford v. Cain,24-7351,363,471,1005,1620,1140,564,1503,1181,1860
Flowers Foods, Inc. v. Brock,24-935,476,102,629,584,579,1065,106,794,1503
Trump v. Barbara,25-365,348,242,1417,906,858,1126,1084,1738,1726
Mullin, Sec. of Homeland v. Al Otro Lado,25-5,333,24,208,1353,1059,529,1003,464,1705
Abouammo v. United States,25-5146,338,85,717,522,498,390,490,878,1136
Keathley v. Buddy Ayers Construction, Inc.,25-6,384,207,245,683,299,953,68,332,862
Jules v. Andre Balazs Properties,25-83,60,176,17,622,652,180,396,488,710
