Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Watson v. RNC,24-1260,D. John Sauer,319,134,0,196,545,0,0,0,99
Watson v. RNC,24-1260,Paul D. Clement,358,497,454,968,921,422,1009,1008,717
Watson v. RNC,24-1260,Scott G. Stewart,1335,226,854,383,175,1028,757,564,475
Flowers Foods, Inc. v. Brock,24-935,Jennifer D. Bennett,744,190,1130,170,187,659,262,423,491
Flowers Foods, Inc. v. Brock,24-935,Traci L. Lovitt,1325,89,335,463,297,218,0,179,486
Mullin, Sec. of Homeland v. Al Otro Lado,25-5,Kelsi B. Corkran,806,111,251,437,443,511,488,819,281
Mullin, Sec. of Homeland v. Al Otro Lado,25-5,Vivek Suri,898,122,108,313,643,0,447,123,648
Abouammo v. United States,25-5146,Anthony A. Yang,562,155,225,345,462,522,636,815,445
Abouammo v. United States,25-5146,Tobias S. Loss-Eaton,1479,119,842,372,333,314,618,141,456
Keathley v. Buddy Ayers Construction, Inc.,25-6,Frederick Liu,302,323,0,332,344,136,0,0,0
Keathley v. Buddy Ayers Construction, Inc.,25-6,Gregory G. Garre,787,105,593,235,250,281,158,373,480
Keathley v. Buddy Ayers Construction, Inc.,25-6,William M. Jay,548,444,0,0,0,787,0,191,833
Jules v. Andre Balazs Properties,25-83,Adam G. Unikowsky,1175,142,12,539,616,231,577,363,688
Jules v. Andre Balazs Properties,25-83,Daniel L. Geyser,199,104,0,0,746,80,736,871,27
