Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Landor v. LA DOC,23-1197,J. Benjamin Aguinaga,316,184,76,602,495,115,211,403,574
Landor v. LA DOC,23-1197,Libby A. Baird,470,178,861,102,416,490,315,768,258
Landor v. LA DOC,23-1197,Zachary D. Tripp,1321,433,452,233,95,911,1088,883,643
Rico v. United States,24-1056,Adam G. Unikowsky,762,326,480,532,795,239,0,0,383
Rico v. United States,24-1056,Joshua K. Handell,392,172,265,180,451,595,0,0,756
Learning Resource, Inc. v. Trump, President of U.S.,24-1287,Benjamin Gutman,174,0,306,14,188,277,213,355,225
Learning Resource, Inc. v. Trump, President of U.S.,24-1287,D. John Sauer,1908,703,127,596,1284,973,1227,1027,966
Learning Resource, Inc. v. Trump, President of U.S.,24-1287,Neal Kumar Katyal,633,577,1478,117,372,763,947,630,366
Fernandez v. United States,24-556,Benjamin Gruenstein,867,159,552,187,511,95,469,250,415
Fernandez v. United States,24-556,Eric J. Feigin,303,410,0,486,647,0,688,402,1240
Hain Celestial Group v. Palmquist,24-724,Russell S. Post,346,113,236,216,310,0,0,431,217
Hain Celestial Group v. Palmquist,24-724,Sarah E. Harrington,855,190,0,135,600,425,0,524,623
GEO Group, Inc. v. Menocal,24-758,Dominic E. Draye,776,141,0,431,513,0,468,191,766
GEO Group, Inc. v. Menocal,24-758,Jennifer D. Bennett,339,499,1058,0,0,0,0,0,989
GEO Group, Inc. v. Menocal,24-758,Sopan Joshi,46,66,0,95,251,0,321,184,0
Coney Island Auto Parts, Inc. v. Burton,24-808,Daniel Ginzburg,937,128,183,181,156,207,0,31,174
Coney Island Auto Parts, Inc. v. Burton,24-808,Lisa S. Blatt,215,201,971,342,167,0,0,0,218
Rutherford v. United States,24-820,David A. O'Neil,521,0,263,212,143,194,204,0,447
Rutherford v. United States,24-820,David C. Frederick,772,283,317,285,115,219,604,341,266
Rutherford v. United States,24-820,Eric J. Feigin,344,310,0,803,251,0,338,246,1125
Hencely v. Flour Corp,24-924,Curtis E. Gannon,547,377,328,0,477,0,503,0,317
Hencely v. Flour Corp,24-924,Frank H. Chang,574,245,345,69,100,0,703,379,299
Hencely v. Flour Corp,24-924,Mark W. Mosier,300,312,490,259,249,219,438,643,199
