Case,Attorney,Docket,total_words
Louisiana v. Callais,Edward D. Greim,24-109,3643
Louisiana v. Callais,Hashim M. Mooppan,24-109,5006
Louisiana v. Callais,J. Benjamin Aguinaga,24-109,5648
Louisiana v. Callais,Janai Nelson,24-109,4476
Louisiana v. Callais,Stuart C. Naifeh,24-109,2708
USPS v. Konan,Easha Anand,24-351,3043
USPS v. Konan,Frederick Liu,24-351,3751
Berk v. Choy,Andrew T. Tutt,24-440,3543
Berk v. Choy,Frederick R. Yarger,24-440,2803
Ellingburg v. United States,Amy M. Saharia,24-482,2204
Ellingburg v. United States,Ashley Robertson,24-482,1908
Ellingburg v. United States,John F. Bash,24-482,3757
Chiles v. Salazar,Hashim M. Mooppan,24-539,2285
Chiles v. Salazar,James A. Campbell,24-539,2747
Chiles v. Salazar,Shannon W. Stevenson,24-539,3858
Bowe v. United States,Andrew L. Adler,24-5438,4274
Bowe v. United States,Anthony A. Yang,24-5438,4074
Bowe v. United States,Kasdin M. Mitchell,24-5438,1843
Villarreal v. Texas,Andrew N. Warthen,24-557,2406
Villarreal v. Texas,Kevin J. Barber,24-557,1545
Villarreal v. Texas,Stuart Banner,24-557,3901
Bost v. IL Bd. Of Elections,Jane E. Notz,24-568,3369
Bost v. IL Bd. Of Elections,Michael Talent,24-568,1544
Bost v. IL Bd. Of Elections,Paul D. Clement,24-568,5976
Barrett v. United States,Aimee W. Brown,24-5774,1898
Barrett v. United States,Charles L. McCloud,24-5774,2050
Barrett v. United States,Matthew B. Larsen,24-5774,3370
Case v. Montana,Christian B. Corrigan,24-624,2550
Case v. Montana,Fred A. Rowley,24-624,4318
Case v. Montana,Zoe A. Jacoby,24-624,1191
