Case,Docket,Attorney,Time Speaking,Total Words
Louisiana v. Callais,24-109,Edward D. Greim,21.41,3643
Louisiana v. Callais,24-109,Hashim M. Mooppan,25.77,5006
Louisiana v. Callais,24-109,J. Benjamin Aguinaga,27.95,5648
Louisiana v. Callais,24-109,Janai Nelson,31.01,4476
Louisiana v. Callais,24-109,Stuart C. Naifeh,15.43,2708
USPS v. Konan,24-351,Easha Anand,16.21,3043
USPS v. Konan,24-351,Frederick Liu,21.95,3751
Berk v. Choy,24-440,Andrew T. Tutt,21.78,3543
Berk v. Choy,24-440,Frederick R. Yarger,16.8,2803
Ellingburg v. United States,24-482,Amy M. Saharia,14.93,2204
Ellingburg v. United States,24-482,Ashley Robertson,11.4,1908
Ellingburg v. United States,24-482,John F. Bash,18.66,3757
Chiles v. Salazar,24-539,Hashim M. Mooppan,11.93,2285
Chiles v. Salazar,24-539,James A. Campbell,16.26,2747
Chiles v. Salazar,24-539,Shannon W. Stevenson,20.5,3858
Bowe v. United States,24-5438,Andrew L. Adler,22.76,4274
Bowe v. United States,24-5438,Anthony A. Yang,22.4,4074
Bowe v. United States,24-5438,Kasdin M. Mitchell,11.45,1843
Villarreal v. Texas,24-557,Andrew N. Warthen,11.22,2406
Villarreal v. Texas,24-557,Kevin J. Barber,7.95,1545
Villarreal v. Texas,24-557,Stuart Banner,21.19,3901
Bost v. IL Bd. Of Elections,24-568,Jane E. Notz,19.84,3369
Bost v. IL Bd. Of Elections,24-568,Michael Talent,8.51,1544
Bost v. IL Bd. Of Elections,24-568,Paul D. Clement,30.18,5976
Barrett v. United States,24-5774,Aimee W. Brown,9.31,1898
Barrett v. United States,24-5774,Charles L. McCloud,10.83,2050
Barrett v. United States,24-5774,Matthew B. Larsen,17.49,3370
Case v. Montana,24-624,Christian B. Corrigan,13.63,2550
Case v. Montana,24-624,Fred A. Rowley,24.71,4318
Case v. Montana,24-624,Zoe A. Jacoby,5.59,1191
