case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
M and K Employee Solutions v. Trustees of the IAM Pension Fund,23-1209,3.27,0.61,0.72,2.55,0.53,0.59,3.15,0.01,5.15
Galette v. NJ Transit Corp.,24-1021,1.86,1.65,1.83,2.13,2.99,2.1,3.25,1.22,5.7
Wolford v. Lopez,24-1046,4.67,1.56,3.59,9.56,6.1,5.15,4.44,6.53,13.59
Little v. Hecox,24-38,3.1,2.06,3.9,11.26,8.25,3.94,4.73,4.98,10.62
West Virginia v. B.P.J.,24-43,2.72,1.29,0.63,3.92,2.08,5.98,5.96,1.93,5.9
Chevron USA Inc. v. Plaquemines Parish,24-813,1.67,1.08,0,1.95,3.58,1.93,1.92,2.67,5.43
Trump, President of U.S. v. Cook,25A312,4.23,1.07,4.26,10.7,3.63,3.78,7.27,4.88,13.63
