case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
M and K Employee Solutions v. Trustees of the IAM Pension Fund,23-1209,458,81,96,330,93,84,516,1,855
Galette v. NJ Transit Corp.,24-1021,285,251,287,305,507,365,600,250,1034
Wolford v. Lopez,24-1046,711,219,562,1191,943,800,769,1296,2311
Little v. Hecox,24-38,426,271,549,1562,1360,624,722,951,1660
West Virginia v. B.P.J.,24-43,372,159,93,542,358,1099,1034,430,931
Trump, President of U.S. v. Cook,25A312,674,135,686,1358,613,652,1219,999,2312
Chevron USA Inc. v. Plaquemines Parish,24-813,248,119,0,283,623,356,312,529,923
