case,date_argued,docket,petitioner_counsel,respondent_counsel,arguing_amici,lower_court,cert_amici,merits_amici
"Wisconsin Bell, Inc. v. United States, ex rel. Todd Heath.",,23-1127,Allyson Ho,Tejinder Singh, Vivek Suri,CA7,2,9
"Advocate Christ Medical Center, et al. v. Xavier Becerra, Secretary of Health and Human Services.",,23-715,Melissa Arbus Sherry,Ephraim McDowell,,CADC,1,3
"E.M.D. Sales, Inc., et al. v. Faustino Sanchez Carrera, et al.",,23-217,Lisa S. Blatt,Lauren E. Bateman, Aimee W. Brown,CA4,3,6
"Facebook, Inc., et al. v. Amalgamated Bank, et al.",,23-980,Kannon Shanmugam,Kevin K. Russell , Kevin J. Barber,,3,9
"Hugo Abisai Monsalvo Velazquez v. Merrick B. Garland, Attorney General.",,23-929,Gerard J. Cedrone,Anthony A. Yang,,CA2,0,3
Salvatore Delligatti v. United States.,,23-825,Allon Kedem,Eric J. Feigin,,CA2,2,3
"NVIDIA Corporation, et al. v. E. Ohman J:or Fonder AB, et al.",,23-970,Neal K. Katyal,Deepak Gupta, Colleen R. Sinzdak,CA9,4,13
