case,date_argued,docket,petitioner_counsel,respondent_counsel,arguing_amici,lower_court,cert_amici,merits_amici
"Ruben Gutierrez v. Luis Saenz, et al.",,23-7809,Anne E. Fisher,William F. Cole,,CA5,0,2
Edgardo Esteras v. United States.,,23-7483,Christian Grostic,Masha Hansford,,CA6,0,1
Thomas Perttu v. Kyle Brandon Richards.,,23-1324,Ann M. Sherman,Lori Alvino McGill,,CA6,0,6
Marlean A. Ames v. Ohio Department of Youth Services.,,23-1039,Xiao Want,T. Elliot Gaiser,Ashley Robertson,CA6,0,11
CC/Devas v. Antrix Corp.,,23-1201,Aaron Strett and Matthew D. McGill,Carter Phillips,Sarah M. Harris,CA9,0,10
"BLOM Bank SAL v. Michal Honickman, et al.",,23-1259,Michael McGInley,Michael Radine,,CA2,0,0
"Smith & Wesson Brands, Inc., et al. v. Estados Unidos Mexicanos.",,23-1141,Noel J. Francisco,Catherine E. Stetson,,CA1,14,29
NRC v. Texas,,23-1300,Marlcolm Stewart / Brad Fagg,Aaron Nielson and David C. Frederick,,CA5,1,12
