case,date_argued,docket,petitioner_counsel,respondent_counsel,arguing_amici,lower_court,cert_amici,merits_amici
"Food and Drug Administration v. Wages and White Lion Investments, L.L.C., dba Triton Distribution, et al.",12/2/2024,23-1038,Curtis Gannon,Eric Heyer,,C. A. 5th Circuit.,,
United States v. David L. Miller.,12/2/2024,23-824,Yaira Dubin,Lisa S. Blatt,,C. A. 10th Circuit.,,
"Republic of Hungary, et al. v. Rosalie Simon, et al.",12/3/2024,23-867,Joshua S. Glasgow,Shay Dvoretzy,Sopan Joshi,C. A. District of Columbia Circuit.,,
"United States v. Jonathan Skrmetti, Attorney General and Reporter for Tennessee, et al.",12/4/2024,23-477,Elizabeth Prelogar,Matthew Rice,,C. A. 6th Circuit.,,
"Stamatios Kousisis and Alpha Painting and Construction Co., Inc. v. United States",12/9/2024,23-909,Jeffrey L. Fisher,Eric J. Feigin,,C. A. 3rd Circuit.,,
Nick Feliciano v. Department of Transportation.,12/9/2024,23-861,Andrew T. Tutt,Nicole F. Reaves,,C. A. Federal Circuit.,,
"Seven County Infrastructure Coalition, et al. v. Eagle County, Colorado, et al.",12/10/2024,23-975,"Paul D. Clement, Edwin Kneedler",William M. Jay,,C. A. District of Columbia Circuit.,,
"Dewberry Group, Inc., fka Dewberry Capital Corporation v. Dewberry Engineers Inc.",12/11/2024,23-900,Thomas G. Hungar,Elbert Lin,Nicholas S. Crown,C. A. 4th Circuit.,,
