case,date_argued,docket,petitioner_counsel,respondent_counsel,arguing_amici,lower_court,cert_amici,merits_amici
"Nancy Williams, et al. v. Fitzgerald Washington, AL Sec. of Labor",45572,23-191,Adam G. Unikowsky,"Edmund G. LaCour, Jr.",,SCAL,0,6
"Royal Canin U.S.A, Inc., et al. v. Anastasia Wullschleger, et al.",45572,23-677,Katherine B. Wellington,Ashley C. Keller,,CA8,1,6
"Garland, Attorney Gen., et al. v. Jennifer VanDerStok, et al.",45573,23-852,Elizabeth B. Prelogar,Peter A. Patterson,,CA5,2,24
"Gerald F. Lackey, Comm. VA DMV v. Damian Stinnie, et al.",45573,23-621,Erika L. Maley,Brian D. Schmalzbach,Anthony A. Yang,CA4,1,14
Richard Eugene Glossip v. Oklahoma,45574,23-7466,Seth P. Waxman,Paul D. Clement,Christopher G. Michel,CCAOK,3,14
"Medical Marijuana, Inc., et al. v. Douglas J. Horn",45580,23-365,Lisa S. Blatt,Easha Anand,,CA2,1,7
"Amina Bouarfa v. Alejandro Mayorkas, Sec. of Homeland Security, et al.",45580,23-583,Samir Deger-Sen,Colleen R. Sinzdak,,CA11,1,8
"Joshua Bufkin v. Denis R. McDonough, Sec. of Veterans Affairs",45581,23-713,Melanie L. Bostwick,Sopan Joshi,,CAFC,4,5
"City and County of San Francisco, CA v. EPA",45581,23-753,Tara M. Steeley,Frederick Liu,,CA9,2,10
