"Origin","Type","Petitions"
"Court of Appeals of Ohio - Franklin County","State/Other",2
"Court of Appeals of Ohio - Lucas County","State/Other",2
"Court of Appeals of Tennessee - Eastern Div.","State/Other",2
"Court of Appeals of Tennessee - Middle Div.","State/Other",2
"Court of Appeals of Utah","State/Other",2
"Court of Appeals of Washington - Div. 3","State/Other",2
"Court of Appeals of Wisconsin - Dist. III","State/Other",2
"Court of Appeals of Wisconsin - Dist. IV","State/Other",2
"Superior Court of Rhode Island - Providence County","State/Other",2
"Supreme Court of Alaska","State/Other",2
"Supreme Court of Iowa","State/Other",2
"Supreme Court of Minnesota","State/Other",2
"Supreme Court of North Dakota","State/Other",2
"Supreme Court of Oklahoma","State/Other",2
"Supreme Court of Oregon","State/Other",2
"Supreme Court of Pennsylvania - Eastern Dist.","State/Other",2
"Supreme Court of Pennsylvania - Western Dist.","State/Other",2
"Supreme Court of Puerto Rico","State/Other",2
"Supreme Court of Wisconsin","State/Other",2
"Supreme Court of the Virgin Islands","State/Other",2
"272nd Dist. Court of Texas - Brazos County","State/Other",1
"38th Judicial Dist. Court of Louisiana - Cameron Parish","State/Other",1
"App. Court of Connecticut","State/Other",1
"App. Div. - Superior Court of California - County of Los Angeles","State/Other",1
"App. Div. - Superior Court of California - Orange County","State/Other",1
"App. Div. - Supreme Court of New York - Fourth Judicial Dept.","State/Other",1
"Circuit Court of Michigan - Wayne County - Criminal Div.","State/Other",1
"Circuit Court of Tennessee - Davidson County","State/Other",1
"Court of Appeal of Louisiana - Fifth Circuit","State/Other",1
"Court of Appeal of Louisiana - Second Circuit","State/Other",1
"Court of Appeals of Arkansas","State/Other",1
"Court of Appeals of Idaho","State/Other",1
"Court of Appeals of Missouri - Western Dist.","State/Other",1
"Court of Appeals of New Mexico","State/Other",1
"Court of Appeals of Ohio - Columbiana County","State/Other",1
"Court of Appeals of Ohio - Erie County","State/Other",1
"Court of Appeals of Ohio - Geauga County","State/Other",1
"Court of Appeals of Ohio - Hamilton County","State/Other",1
"Court of Appeals of Ohio - Pickaway County","State/Other",1
"Court of Appeals of Ohio - Portage County","State/Other",1
"Court of Appeals of Ohio - Stark County","State/Other",1
"Court of Appeals of Ohio - Summit County","State/Other",1
"Court of Appeals of Ohio - Washington County","State/Other",1
"Court of Appeals of South Carolina","State/Other",1
"Court of Appeals of Texas - Eighth Dist.","State/Other",1
"Court of Appeals of Texas - Eleventh Dist.","State/Other",1
"Court of Appeals of Texas - Fourth Dist.","State/Other",1
"Court of Appeals of Texas - Thirteenth Dist.","State/Other",1
"Court of Civil Appeals of Alabama","State/Other",1
"Court of Civil Appeals of Oklahoma - First Div.","State/Other",1
"Court of Criminal Appeals of Tennessee - Western Div.","State/Other",1
"Dist. Court of Colorado - El Paso County","State/Other",1
"Dist. Court of Colorado - Jefferson County","State/Other",1
"Dist. Court of New Mexico - Bernalillo County","State/Other",1
"Superior Court of California - Los Angeles County","State/Other",1
"Superior Court of Georgia - Butts County","State/Other",1
"Superior Court of New Jersey - Atlantic County - Chancery Div.","State/Other",1
"Superior Court of North Carolina - Columbus County","State/Other",1
"Superior Court of North Carolina - Cumberland County","State/Other",1
"Supreme Court of Guam","State/Other",1
"Supreme Court of Maryland","State/Other",1
"Supreme Court of New Mexico","State/Other",1
"Supreme Court of Tennessee - Middle Div.","State/Other",1
"Supreme Court of Tennessee - Western Div.","State/Other",1
"Supreme Court of Utah","State/Other",1
"Dist. Court for the Dist. of North Dakota","State/Other",1
"Dist. Court for the Eastern Dist. of Arkansas","State/Other",1
"Dist. Court for the Western Dist. of Washington","State/Other",1
