"docket_number","filing_year","total_amici","petition_granted"
"18-6303",2018,0,0
"18-6304",2018,0,0
"18-6305",2018,0,0
"18-6306",2018,1,0
"18-6307",2018,0,0
"18-6308",2018,0,0
"18-6309",2018,0,0
"18-631",2018,0,0
"18-6310",2018,0,0
"18-6311",2018,0,0
"18-6312",2018,0,0
"18-6313",2018,0,0
"18-6314",2018,0,0
"18-6315",2018,0,0
"18-6316",2018,0,0
"18-6317",2018,0,0
"18-6318",2018,0,0
"18-6319",2018,0,0
"18-632",2018,0,0
"18-6320",2018,0,0
"18-6321",2018,0,0
"18-6322",2018,0,0
"18-6323",2018,0,0
"18-6324",2018,0,0
"18-6325",2018,0,0
"18-6326",2018,0,0
"18-6327",2018,0,0
"18-6328",2018,0,0
"18-6329",2018,0,0
"18-633",2018,0,0
"18-6330",2018,0,0
"18-6331",2018,0,0
"18-6332",2018,0,0
"18-6333",2018,0,0
"18-6334",2018,0,0
"18-6335",2018,0,0
"18-6336",2018,0,0
"18-6337",2018,0,0
"18-6338",2018,0,0
"18-6339",2018,0,0
"18-634",2018,0,0
"18-6340",2018,0,0
"18-6341",2018,0,0
"18-6342",2018,0,0
"18-6343",2018,0,0
"18-6344",2018,0,0
"18-6345",2018,0,0
"18-6346",2018,0,0
"18-6347",2018,0,0
"18-6348",2018,0,0
"18-6349",2018,0,0
"18-635",2018,0,0
"18-6350",2018,0,0
"18-6351",2018,0,0
"18-6352",2018,0,0
"18-6353",2018,0,0
"18-6354",2018,0,0
"18-6355",2018,0,0
"18-6356",2018,0,0
"18-6357",2018,0,0
"18-6358",2018,0,0
"18-6359",2018,0,0
"18-636",2018,0,0
"18-6360",2018,0,0
"18-6361",2018,0,0
"18-6362",2018,0,0
"18-6363",2018,0,0
"18-6364",2018,0,0
"18-6365",2018,0,0
"18-6366",2018,0,0
"18-6367",2018,0,0
"18-6368",2018,0,0
"18-6369",2018,0,0
"18-637",2018,0,0
"18-6370",2018,0,0
"18-6371",2018,0,0
"18-6372",2018,0,0
"18-6373",2018,0,0
"18-6374",2018,1,0
"18-6375",2018,0,0
"18-6376",2018,0,0
"18-6377",2018,0,0
"18-6378",2018,0,0
"18-6379",2018,0,0
"18-638",2018,0,0
"18-6380",2018,0,0
"18-6381",2018,0,0
"18-6382",2018,0,0
"18-6383",2018,0,0
"18-6384",2018,0,0
"18-6385",2018,0,0
"18-6386",2018,0,0
"18-6387",2018,0,0
"18-6388",2018,0,0
"18-6389",2018,0,0
"18-639",2018,0,0
"18-6390",2018,0,0
"18-6391",2018,0,0
"18-6392",2018,0,0
"18-6393",2018,0,0
"18-6394",2018,0,0
"18-6395",2018,0,0
"18-6396",2018,0,0
"18-6397",2018,0,0
"18-6398",2018,0,0
"18-6399",2018,0,0
"18-64",2018,1,0
"18-640",2018,2,0
"18-6400",2018,0,0
"18-6401",2018,0,0
"18-6402",2018,0,0
"18-6403",2018,0,0
"18-6404",2018,0,0
"18-6405",2018,0,0
"18-6406",2018,0,0
"18-6407",2018,0,0
"18-6408",2018,0,0
"18-6409",2018,1,0
"18-641",2018,0,0
"18-6410",2018,0,0
"18-6411",2018,0,0
"18-6412",2018,0,0
"18-6413",2018,0,0
"18-6414",2018,0,0
"18-6415",2018,0,0
"18-6416",2018,0,0
"18-6417",2018,0,0
"18-6418",2018,0,0
"18-6419",2018,0,0
"18-642",2018,1,0
"18-6420",2018,0,0
"18-6421",2018,0,0
"18-6422",2018,0,0
"18-6423",2018,0,0
"18-6424",2018,0,0
"18-6425",2018,0,0
"18-6426",2018,0,0
"18-6427",2018,0,0
"18-6428",2018,0,0
"18-6429",2018,0,0
"18-643",2018,0,0
"18-6430",2018,0,0
"18-6431",2018,0,0
"18-6432",2018,0,0
"18-6433",2018,0,0
"18-6434",2018,0,0
"18-6435",2018,0,0
"18-6436",2018,0,0
"18-6437",2018,0,0
"18-6438",2018,0,0
"18-6439",2018,0,0
"18-644",2018,0,0
"18-6440",2018,0,0
"18-6441",2018,0,0
"18-6442",2018,0,0
"18-6443",2018,0,0
"18-6444",2018,0,0
"18-6445",2018,0,0
"18-6446",2018,0,0
"18-6447",2018,0,0
"18-6448",2018,0,0
"18-6449",2018,0,0
"18-645",2018,0,0
"18-6450",2018,0,0
"18-6451",2018,0,0
"18-6452",2018,0,0
"18-6453",2018,0,0
"18-6454",2018,0,0
"18-6455",2018,0,0
"18-6456",2018,0,0
"18-6457",2018,0,0
"18-6458",2018,0,0
"18-6459",2018,0,0
"18-646",2018,0,0
"18-6460",2018,0,0
"18-6461",2018,0,0
"18-6462",2018,0,0
"18-6463",2018,0,0
"18-6464",2018,0,0
"18-6465",2018,0,0
"18-6466",2018,0,0
"18-6467",2018,0,0
"18-6468",2018,0,0
"18-6469",2018,0,0
"18-647",2018,0,0
"18-6470",2018,0,0
"18-6471",2018,0,0
"18-6472",2018,0,0
"18-6473",2018,0,0
"18-6474",2018,0,0
"18-6475",2018,0,0
"18-6476",2018,0,0
"18-6477",2018,0,0
"18-6478",2018,0,0
"18-6479",2018,0,0
"18-648",2018,0,0
"18-6480",2018,0,0
"18-6481",2018,0,0
"18-6482",2018,0,0
"18-6483",2018,0,0
"18-6484",2018,0,0
"18-6485",2018,0,0
"18-6486",2018,0,0
"18-6487",2018,0,0
"18-6488",2018,0,0
"18-6489",2018,0,0
"18-649",2018,1,0
"18-6490",2018,0,0
"18-6491",2018,0,0
"18-6492",2018,0,0
"18-6493",2018,0,0
"18-6494",2018,0,0
"18-6495",2018,0,0
"18-6496",2018,0,0
"18-6497",2018,0,0
"18-6498",2018,0,0
"18-6499",2018,0,0
"18-65",2018,0,0
"18-650",2018,3,0
"18-6500",2018,0,0
"18-6501",2018,0,0
"18-6502",2018,0,0
"18-6503",2018,0,0
"18-6504",2018,0,0
"18-6505",2018,0,0
"18-6506",2018,0,0
"18-6507",2018,0,0
"18-6508",2018,0,0
"18-6509",2018,0,0
"18-651",2018,0,0
"18-6510",2018,0,0
"18-6511",2018,0,0
"18-6512",2018,0,0
"18-6513",2018,0,0
"18-6514",2018,0,0
"18-6515",2018,0,0
"18-6516",2018,0,0
"18-6517",2018,0,0
"18-6518",2018,0,0
"18-6519",2018,0,0
"18-652",2018,0,0
"18-6520",2018,0,0
"18-6521",2018,0,0
"18-6522",2018,0,0
"18-6523",2018,0,0
"18-6524",2018,0,0
"18-6525",2018,0,0
"18-6526",2018,0,0
"18-6527",2018,0,0
"18-6528",2018,0,0
"18-6529",2018,0,0
"18-653",2018,0,0
"18-6530",2018,0,0
"18-6531",2018,0,0
"18-6532",2018,0,0
"18-6533",2018,0,0
"18-6534",2018,0,0
"18-6535",2018,0,0
"18-6536",2018,0,0
"18-6537",2018,0,0
"18-6538",2018,0,0
"18-6539",2018,0,0
"18-654",2018,1,0
"18-6540",2018,0,0
"18-6541",2018,0,0
"18-6542",2018,0,0
"18-6543",2018,0,0
"18-6544",2018,0,0
"18-6545",2018,0,0
"18-6546",2018,0,0
"18-6547",2018,0,0
"18-6548",2018,0,0
"18-6549",2018,0,0
"18-655",2018,0,0
"18-6550",2018,0,0
"18-6551",2018,0,0
"18-6552",2018,0,0
"18-6553",2018,0,0
"18-6554",2018,0,0
"18-6555",2018,0,0
"18-6556",2018,0,0
"18-6557",2018,0,0
"18-6558",2018,0,0
"18-6559",2018,0,0
"18-656",2018,0,0
"18-6560",2018,0,0
"18-6561",2018,0,0
"18-6562",2018,0,0
"18-6563",2018,0,0
"18-6564",2018,0,0
"18-6565",2018,0,0
"18-6566",2018,0,0
"18-6567",2018,0,0
"18-6568",2018,0,0
"18-6569",2018,0,0
"18-657",2018,0,0
"18-6570",2018,0,0
"18-6571",2018,0,0
"18-6572",2018,0,0
"18-6573",2018,0,0
"18-6574",2018,0,0
"18-6575",2018,0,0
"18-6576",2018,0,0
"18-6577",2018,0,0
"18-6578",2018,0,0
"18-6579",2018,0,0
"18-658",2018,9,0
"18-6580",2018,0,0
"18-6581",2018,0,0
"18-6582",2018,0,0
"18-6583",2018,0,0
"18-6584",2018,0,0
"18-6585",2018,0,0
"18-6586",2018,0,0
"18-6587",2018,0,0
"18-6588",2018,0,0
"18-6589",2018,0,0
"18-659",2018,0,0
"18-6590",2018,0,0
"18-6591",2018,0,0
"18-6592",2018,0,0
"18-6593",2018,0,0
"18-6594",2018,0,0
"18-6595",2018,0,0
"18-6596",2018,0,0
"18-6597",2018,0,0
"18-6598",2018,0,0
"18-6599",2018,0,0
"18-66",2018,0,0
"18-660",2018,0,0
"18-6600",2018,0,0
"18-6601",2018,0,0
"18-6602",2018,0,0
"18-6603",2018,0,0
"18-6604",2018,0,0
"18-6605",2018,0,0
"18-6606",2018,0,0
"18-6607",2018,0,0
"18-6608",2018,0,0
"18-6609",2018,0,0
"18-661",2018,0,0
"18-6610",2018,0,0
"18-6611",2018,0,0
"18-6612",2018,0,0
"18-6613",2018,0,0
"18-6614",2018,0,0
"18-6615",2018,0,0
"18-6616",2018,0,0
"18-6617",2018,0,0
"18-6618",2018,0,0
"18-6619",2018,0,0
"18-662",2018,0,0
"18-6620",2018,0,0
"18-6621",2018,0,0
"18-6622",2018,0,0
"18-6623",2018,0,0
"18-6624",2018,0,0
"18-6625",2018,0,0
"18-6626",2018,0,0
"18-6627",2018,0,0
"18-6628",2018,0,0
"18-6629",2018,0,0
"18-663",2018,4,0
"18-6630",2018,0,0
"18-6631",2018,0,0
"18-6632",2018,0,0
"18-6633",2018,0,0
"18-6634",2018,0,0
"18-6635",2018,0,0
"18-6636",2018,0,0
"18-6637",2018,0,0
"18-6638",2018,0,0
"18-6639",2018,0,0
"18-664",2018,0,0
"18-6640",2018,0,0
"18-6641",2018,0,0
"18-6642",2018,0,0
"18-6643",2018,0,0
"18-6644",2018,0,0
"18-6645",2018,0,0
"18-6646",2018,0,0
"18-6647",2018,0,0
"18-6648",2018,0,0
"18-6649",2018,0,0
"18-665",2018,0,0
"18-6650",2018,0,0
"18-6651",2018,0,0
"18-6652",2018,0,0
"18-6653",2018,0,0
"18-6654",2018,0,0
"18-6655",2018,0,0
"18-6656",2018,0,0
"18-6657",2018,0,0
"18-6658",2018,0,0
"18-6659",2018,0,0
"18-666",2018,0,0
"18-6660",2018,0,0
"18-6661",2018,0,0
"18-6662",2018,3,1
"18-6663",2018,0,0
"18-6664",2018,0,0
"18-6665",2018,0,0
"18-6666",2018,0,0
"18-6667",2018,0,0
"18-6668",2018,0,0
"18-6669",2018,0,0
"18-667",2018,0,0
"18-6670",2018,0,0
"18-6671",2018,0,0
"18-6672",2018,0,0
"18-6673",2018,0,0
"18-6674",2018,0,0
"18-6675",2018,0,0
"18-6676",2018,0,0
"18-6677",2018,0,0
"18-6678",2018,0,0
"18-6679",2018,0,0
"18-668",2018,0,0
"18-6680",2018,0,0
"18-6681",2018,0,0
"18-6682",2018,0,0
"18-6683",2018,0,0
"18-6684",2018,0,0
"18-6685",2018,0,0
"18-6686",2018,0,0
"18-6687",2018,0,0
"18-6688",2018,0,0
"18-6689",2018,0,0
"18-669",2018,0,0
"18-6690",2018,0,0
"18-6691",2018,0,0
"18-6692",2018,0,0
"18-6693",2018,0,0
"18-6694",2018,0,0
"18-6695",2018,0,0
"18-6696",2018,0,0
"18-6697",2018,0,0
"18-6698",2018,0,0
"18-6699",2018,0,0
"18-67",2018,0,0
"18-670",2018,1,0
"18-6700",2018,0,0
"18-6701",2018,0,0
"18-6702",2018,0,0
"18-6703",2018,0,0
"18-6704",2018,0,0
"18-6705",2018,0,0
"18-6706",2018,0,0
"18-6707",2018,0,0
"18-6708",2018,0,0
"18-6709",2018,0,0
"18-671",2018,0,0
"18-6710",2018,0,0
"18-6711",2018,0,0
"18-6712",2018,0,0
"18-6713",2018,0,0
"18-6714",2018,0,0
"18-6715",2018,1,0
"18-6716",2018,0,0
"18-6717",2018,0,0
"18-6718",2018,0,0
"18-6719",2018,0,0
"18-672",2018,1,0
"18-6720",2018,0,0
"18-6721",2018,0,0
"18-6722",2018,0,0
"18-6723",2018,0,0
"18-6724",2018,0,0
"18-6725",2018,0,0
"18-6726",2018,0,0
"18-6727",2018,0,0
"18-6728",2018,0,0
"18-6729",2018,0,0
"18-673",2018,0,0
"18-6730",2018,0,0
"18-6731",2018,0,0
"18-6732",2018,0,0
"18-6733",2018,0,0
"18-6734",2018,0,0
"18-6735",2018,0,0
"18-6736",2018,0,0
"18-6737",2018,0,0
"18-6738",2018,0,0
"18-6739",2018,0,0
"18-674",2018,0,0
"18-6740",2018,0,0
"18-6741",2018,0,0
"18-6742",2018,0,0
"18-6743",2018,0,0
"18-6744",2018,0,0
"18-6745",2018,0,0
"18-6746",2018,0,0
"18-6747",2018,1,0
"18-6748",2018,0,0
"18-6749",2018,0,0
"18-675",2018,0,0
"18-6750",2018,0,0
"18-6751",2018,0,0
"18-6752",2018,0,0
"18-6753",2018,0,0
"18-6754",2018,0,0
"18-6755",2018,0,0
"18-6756",2018,0,0
"18-6757",2018,0,0
"18-6758",2018,0,0
"18-6759",2018,0,0
"18-676",2018,1,0
"18-6760",2018,0,0
"18-6761",2018,0,0
"18-6762",2018,0,0
"18-6763",2018,0,0
"18-6764",2018,0,0
"18-6765",2018,0,0
"18-6766",2018,0,0
"18-6767",2018,0,0
"18-6768",2018,0,0
"18-6769",2018,0,0
"18-677",2018,1,0
"18-6770",2018,0,0
"18-6771",2018,0,0
"18-6772",2018,0,0
"18-6773",2018,0,0
"18-6774",2018,0,0
"18-6775",2018,0,0
"18-6776",2018,0,0
"18-6777",2018,0,0
"18-6778",2018,0,0
"18-6779",2018,0,0
"18-678",2018,1,0
"18-6780",2018,0,0
"18-6781",2018,0,0
"18-6782",2018,0,0
"18-6783",2018,0,0
"18-6784",2018,0,0
"18-6785",2018,0,0
"18-6786",2018,0,0
"18-6787",2018,0,0
"18-6788",2018,0,0
"18-6789",2018,0,0
"18-679",2018,1,0
"18-6790",2018,0,0
"18-6791",2018,0,0
"18-6792",2018,0,0
"18-6793",2018,0,0
"18-6794",2018,0,0
"18-6795",2018,0,0
"18-6796",2018,0,0
"18-6797",2018,0,0
"18-6798",2018,0,0
"18-6799",2018,0,0
"18-68",2018,0,0
"18-680",2018,0,0
"18-6800",2018,0,0
"18-6801",2018,0,0
"18-6802",2018,0,0
"18-6803",2018,0,0
"18-6804",2018,0,0
"18-6805",2018,0,0
"18-6806",2018,0,0
"18-6807",2018,0,0
"18-6808",2018,0,0
"18-6809",2018,0,0
"18-681",2018,0,0
"18-6810",2018,0,0
"18-6811",2018,0,0
"18-6812",2018,0,0
"18-6813",2018,0,0
"18-6814",2018,0,0
"18-6815",2018,0,0
"18-6816",2018,0,0
"18-6817",2018,0,0
"18-6818",2018,0,0
"18-6819",2018,1,0
"18-682",2018,0,0
"18-6820",2018,0,0
"18-6821",2018,0,0
"18-6822",2018,0,0
"18-6823",2018,0,0
"18-6824",2018,0,0
"18-6825",2018,0,0
"18-6826",2018,0,0
"18-6827",2018,0,0
"18-6828",2018,0,0
"18-6829",2018,0,0
"18-683",2018,0,0
"18-6830",2018,0,0
"18-6831",2018,0,0
"18-6832",2018,0,0
"18-6833",2018,0,0
"18-6834",2018,0,0
"18-6835",2018,0,0
"18-6836",2018,0,0
"18-6837",2018,0,0
"18-6838",2018,0,0
"18-6839",2018,0,0
"18-684",2018,0,0
"18-6840",2018,0,0
"18-6841",2018,0,0
"18-6842",2018,0,0
"18-6843",2018,0,0
"18-6844",2018,0,0
"18-6845",2018,0,0
"18-6846",2018,0,0
"18-6847",2018,0,0
"18-6848",2018,0,0
"18-6849",2018,0,0
"18-685",2018,0,0
"18-6850",2018,0,0
"18-6851",2018,0,0
"18-6852",2018,0,0
"18-6853",2018,0,0
"18-6854",2018,0,0
"18-6855",2018,0,0
"18-6856",2018,0,0
"18-6857",2018,0,0
"18-6858",2018,0,0
"18-6859",2018,0,0
"18-686",2018,0,0
"18-6860",2018,0,0
"18-6861",2018,0,0
"18-6862",2018,0,0
"18-6863",2018,0,0
"18-6864",2018,0,0
"18-6865",2018,0,0
"18-6866",2018,0,0
"18-6867",2018,0,0
"18-6868",2018,0,0
"18-6869",2018,0,0
"18-687",2018,0,0
"18-6870",2018,0,0
"18-6871",2018,0,0
"18-6872",2018,0,0
"18-6873",2018,0,0
"18-6874",2018,0,0
"18-6875",2018,0,0
"18-6876",2018,0,0
"18-6877",2018,0,0
"18-6878",2018,0,0
"18-6879",2018,0,0
"18-688",2018,0,0
"18-6880",2018,0,0
"18-6881",2018,0,0
"18-6882",2018,0,0
"18-6883",2018,0,0
"18-6884",2018,0,0
"18-6885",2018,0,0
"18-6886",2018,0,0
"18-6887",2018,0,0
"18-6888",2018,0,0
"18-6889",2018,0,0
"18-689",2018,0,0
"18-6890",2018,0,0
"18-6891",2018,0,0
"18-6892",2018,0,0
"18-6893",2018,0,0
"18-6894",2018,0,0
"18-6895",2018,0,0
"18-6896",2018,0,0
"18-6897",2018,0,0
"18-6898",2018,0,0
"18-6899",2018,0,0
"18-69",2018,0,0
"18-690",2018,0,0
"18-6900",2018,0,0
"18-6901",2018,0,0
"18-6902",2018,0,0
"18-6903",2018,0,0
"18-6904",2018,0,0
"18-6905",2018,0,0
"18-6906",2018,0,0
"18-6907",2018,0,0
"18-6908",2018,0,0
"18-6909",2018,0,0
"18-691",2018,0,0
"18-6910",2018,0,0
"18-6911",2018,0,0
"18-6912",2018,0,0
"18-6913",2018,0,0
"18-6914",2018,0,0
"18-6915",2018,0,0
"18-6916",2018,0,0
"18-6917",2018,0,0
"18-6918",2018,0,0
"18-6919",2018,0,0
"18-692",2018,3,0
"18-6920",2018,0,0
"18-6921",2018,0,0
"18-6922",2018,0,0
"18-6923",2018,0,0
"18-6924",2018,0,0
"18-6925",2018,0,0
"18-6926",2018,0,0
"18-6927",2018,0,0
"18-6928",2018,0,0
"18-6929",2018,0,0
"18-693",2018,0,0
"18-6930",2018,0,0
"18-6931",2018,0,0
"18-6932",2018,0,0
"18-6933",2018,0,0
"18-6934",2018,0,0
"18-6935",2018,0,0
"18-6936",2018,0,0
"18-6937",2018,0,0
"18-6938",2018,0,0
"18-6939",2018,0,0
"18-694",2018,0,0
"18-6940",2018,0,0
"18-6941",2018,0,0
"18-6942",2018,0,0
"18-6943",2018,4,1
"18-6944",2018,0,0
"18-6945",2018,0,0
"18-6946",2018,0,0
"18-6947",2018,0,0
"18-6948",2018,0,0
"18-6949",2018,0,0
"18-695",2018,1,0
"18-6950",2018,0,0
"18-6951",2018,0,0
"18-6952",2018,0,0
"18-6953",2018,0,0
"18-6954",2018,0,0
"18-6955",2018,0,0
"18-6956",2018,0,0
"18-6957",2018,0,0
"18-6958",2018,0,0
"18-6959",2018,0,0
"18-696",2018,0,0
"18-6960",2018,0,0
"18-6961",2018,0,0
"18-6962",2018,0,0
"18-6963",2018,0,0
"18-6964",2018,0,0
"18-6965",2018,0,0
"18-6966",2018,0,0
"18-6967",2018,0,0
"18-6968",2018,0,0
"18-6969",2018,0,0
"18-697",2018,0,0
"18-6970",2018,0,0
"18-6971",2018,0,0
"18-6972",2018,0,0
"18-6973",2018,0,0
"18-6974",2018,0,0
"18-6975",2018,0,0
"18-6976",2018,0,0
"18-6977",2018,0,0
"18-6978",2018,0,0
"18-6979",2018,0,0
"18-698",2018,0,0
"18-6980",2018,0,0
"18-6981",2018,0,0
"18-6982",2018,0,0
"18-6983",2018,0,0
"18-6984",2018,0,0
"18-6985",2018,0,0
"18-6986",2018,0,0
"18-6987",2018,0,0
"18-6988",2018,0,0
"18-6989",2018,0,0
"18-699",2018,2,0
"18-6990",2018,0,0
"18-6991",2018,0,0
"18-6992",2018,1,0
"18-6993",2018,0,0
"18-6994",2018,0,0
"18-6995",2018,0,0
"18-6996",2018,0,0
"18-6997",2018,0,0
"18-6998",2018,0,0
"18-6999",2018,0,0
"18-7",2018,0,0
"18-70",2018,0,0
"18-700",2018,0,0
"18-7000",2018,0,0
"18-7001",2018,0,0
"18-7002",2018,0,0
"18-7003",2018,0,0
"18-7004",2018,0,0
"18-7005",2018,0,0
"18-7006",2018,0,0
"18-7007",2018,0,0
"18-7008",2018,0,0
"18-7009",2018,0,0
"18-701",2018,0,0
"18-7010",2018,0,0
"18-7011",2018,0,0
"18-7012",2018,0,0
"18-7013",2018,0,0
"18-7014",2018,0,0
"18-7015",2018,0,0
"18-7016",2018,0,0
"18-7017",2018,0,0
"18-7018",2018,0,0
"18-7019",2018,0,0
"18-702",2018,0,0
"18-7020",2018,0,0
"18-7021",2018,0,0
"18-7022",2018,0,0
"18-7023",2018,0,0
"18-7024",2018,0,0
"18-7025",2018,0,0
"18-7026",2018,0,0
"18-7027",2018,0,0
"18-7028",2018,0,0
"18-7029",2018,0,0
"18-703",2018,1,0
"18-7030",2018,0,0
"18-7031",2018,0,0
"18-7032",2018,0,0
"18-7033",2018,0,0
"18-7034",2018,0,0
"18-7035",2018,0,0
"18-7036",2018,0,0
"18-7037",2018,0,0
"18-7038",2018,0,0
"18-7039",2018,0,0
"18-704",2018,0,0
"18-7040",2018,0,0
"18-7041",2018,0,0
"18-7042",2018,0,0
"18-7043",2018,0,0
"18-7044",2018,0,0
"18-7045",2018,0,0
"18-7046",2018,0,0
"18-7047",2018,0,0
"18-7048",2018,0,0
"18-7049",2018,0,0
"18-705",2018,0,0
"18-7050",2018,0,0
"18-7051",2018,0,0
"18-7052",2018,0,0
"18-7053",2018,0,0
"18-7054",2018,0,0
"18-7055",2018,0,0
"18-7056",2018,0,0
"18-7057",2018,0,0
"18-7058",2018,0,0
"18-7059",2018,0,0
"18-706",2018,0,0
"18-7060",2018,0,0
"18-7061",2018,0,0
"18-7062",2018,0,0
"18-7063",2018,0,0
"18-7064",2018,0,0
"18-7065",2018,0,0
"18-7066",2018,0,0
"18-7067",2018,0,0
"18-7068",2018,0,0
"18-7069",2018,0,0
"18-707",2018,0,0
"18-7070",2018,0,0
"18-7071",2018,0,0
"18-7072",2018,0,0
"18-7073",2018,0,0
"18-7074",2018,0,0
"18-7075",2018,0,0
"18-7076",2018,0,0
"18-7077",2018,0,0
"18-7078",2018,0,0
"18-7079",2018,0,0
"18-708",2018,0,0
"18-7080",2018,0,0
"18-7081",2018,0,0
"18-7082",2018,0,0
"18-7083",2018,0,0
"18-7084",2018,0,0
"18-7085",2018,0,0
"18-7086",2018,0,0
"18-7087",2018,0,0
"18-7088",2018,0,0
"18-7089",2018,0,0
"18-709",2018,0,0
"18-7090",2018,0,0
"18-7091",2018,0,0
"18-7092",2018,0,0
"18-7093",2018,0,0
"18-7094",2018,1,0
"18-7095",2018,0,0
"18-7096",2018,0,0
"18-7097",2018,0,0
"18-7098",2018,0,0
"18-7099",2018,0,0
"18-71",2018,0,0
"18-710",2018,0,0
"18-7100",2018,0,0
"18-7101",2018,0,0
"18-7102",2018,0,0
"18-7103",2018,0,0
"18-7104",2018,0,0
"18-7105",2018,0,0
"18-7106",2018,0,0
"18-7107",2018,0,0
"18-7108",2018,0,0
"18-7109",2018,0,0
"18-711",2018,0,0
"18-7110",2018,0,0
"18-7111",2018,0,0
"18-7112",2018,0,0
"18-7113",2018,0,0
"18-7114",2018,0,0
"18-7115",2018,0,0
"18-7116",2018,0,0
"18-7117",2018,0,0
"18-7118",2018,0,0
"18-7119",2018,0,0
"18-712",2018,0,0
"18-7120",2018,0,0
"18-7121",2018,0,0
"18-7122",2018,0,0
"18-7123",2018,0,0
"18-7124",2018,0,0
"18-7125",2018,0,0
"18-7126",2018,0,0
"18-7127",2018,0,0
"18-7128",2018,0,0
"18-7129",2018,0,0
"18-713",2018,0,0
"18-7130",2018,0,0
"18-7131",2018,0,0
"18-7132",2018,0,0
"18-7133",2018,0,0
"18-7134",2018,0,0
"18-7135",2018,0,0
"18-7136",2018,0,0
"18-7137",2018,0,0
"18-7138",2018,0,0
"18-7139",2018,0,0
"18-714",2018,0,0
"18-7140",2018,0,0
"18-7141",2018,0,0
"18-7142",2018,0,0
"18-7143",2018,0,0
"18-7144",2018,0,0
"18-7145",2018,0,0
"18-7146",2018,0,0
"18-7147",2018,0,0
"18-7148",2018,0,0
"18-7149",2018,0,0
"18-715",2018,0,0
"18-7150",2018,0,0
"18-7151",2018,0,0
"18-7152",2018,0,0
"18-7153",2018,0,0
"18-7154",2018,0,0
"18-7155",2018,0,0
"18-7156",2018,0,0
"18-7157",2018,0,0
"18-7158",2018,0,0
"18-7159",2018,0,0
"18-716",2018,0,0
"18-7160",2018,0,0
"18-7161",2018,0,0
"18-7162",2018,0,0
"18-7163",2018,0,0
"18-7164",2018,0,0
"18-7165",2018,0,0
"18-7166",2018,0,0
"18-7167",2018,0,0
"18-7168",2018,0,0
"18-7169",2018,0,0
"18-717",2018,0,0
"18-7170",2018,0,0
"18-7171",2018,0,0
"18-7172",2018,0,0
"18-7173",2018,0,0
"18-7174",2018,0,0
"18-7175",2018,0,0
"18-7176",2018,0,0
"18-7177",2018,0,0
"18-7178",2018,0,0
"18-7179",2018,0,0
"18-718",2018,0,0
"18-7180",2018,0,0
"18-7181",2018,0,0
"18-7182",2018,0,0
"18-7183",2018,0,0
"18-7184",2018,0,0
"18-7185",2018,0,0
"18-7186",2018,0,0
"18-7187",2018,0,0
"18-7188",2018,0,0
"18-7189",2018,0,0
"18-719",2018,7,0
"18-7190",2018,0,0
"18-7191",2018,0,0
"18-7192",2018,0,0
"18-7193",2018,0,0
"18-7194",2018,0,0
"18-7195",2018,0,0
"18-7196",2018,0,0
"18-7197",2018,0,0
"18-7198",2018,0,0
"18-7199",2018,0,0
"18-72",2018,0,0
"18-720",2018,0,0
"18-7200",2018,0,0
"18-7201",2018,0,0
"18-7202",2018,0,0
"18-7203",2018,0,0
"18-7204",2018,0,0
"18-7205",2018,0,0
"18-7206",2018,0,0
"18-7207",2018,0,0
"18-7208",2018,0,0
"18-7209",2018,0,0
"18-721",2018,0,0
"18-7210",2018,0,0
"18-7211",2018,0,0
"18-7212",2018,0,0
"18-7213",2018,0,0
"18-7214",2018,0,0
"18-7215",2018,0,0
"18-7216",2018,0,0
"18-7217",2018,0,0
"18-7218",2018,0,0
"18-7219",2018,0,0
"18-722",2018,3,0
"18-7220",2018,0,0
"18-7221",2018,0,0
"18-7222",2018,0,0
"18-7223",2018,0,0
"18-7224",2018,0,0
"18-7225",2018,0,0
"18-7226",2018,0,0
"18-7227",2018,0,0
"18-7228",2018,0,0
"18-7229",2018,0,0
"18-723",2018,0,0
"18-7230",2018,0,0
"18-7231",2018,0,0
"18-7232",2018,0,0
"18-7233",2018,0,0
"18-7234",2018,0,0
"18-7235",2018,0,0
"18-7236",2018,0,0
"18-7237",2018,0,0
"18-7238",2018,0,0
"18-7239",2018,0,0
"18-724",2018,0,0
"18-7240",2018,0,0
"18-7241",2018,0,0
"18-7242",2018,0,0
"18-7243",2018,0,0
"18-7244",2018,0,0
"18-7245",2018,0,0
"18-7246",2018,0,0
"18-7247",2018,0,0
"18-7248",2018,0,0
"18-7249",2018,0,0
"18-725",2018,5,1
"18-7250",2018,0,0
"18-7251",2018,0,0
"18-7252",2018,0,0
"18-7253",2018,0,0
"18-7254",2018,0,0
"18-7255",2018,0,0
"18-7256",2018,0,0
"18-7257",2018,0,0
"18-7258",2018,0,0
"18-7259",2018,0,0
"18-726",2018,24,1
"18-7260",2018,0,0
"18-7261",2018,0,0
"18-7262",2018,0,0
"18-7263",2018,0,0
"18-7264",2018,0,0
"18-7265",2018,0,0
"18-7266",2018,0,0
"18-7267",2018,0,0
"18-7268",2018,0,0
"18-7269",2018,0,0
"18-727",2018,0,0
"18-7270",2018,0,0
"18-7271",2018,0,0
"18-7272",2018,0,0
"18-7273",2018,0,0
"18-7274",2018,0,0
"18-7275",2018,0,0
"18-7276",2018,0,0
"18-7277",2018,0,0
"18-7278",2018,0,0
