Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Hunter v. United States,24-1063,Lisa S. Blatt,1325,377,713,271,436,337,664,622,485
Hunter v. United States,24-1063,Zoe A. Jacoby,475,215,180,690,617,924,888,604,544
United States v. Hemani,24-1234,Erin E. Murphy,1143,103,1308,481,571,114,1091,413,276
United States v. Hemani,24-1234,Sarah M. Harris,1296,353,237,448,591,1054,1086,1321,829
Montgomery v. Caribe Transport II, LLC,24-1238,Paul D. Clement,1197,680,318,362,1072,0,1834,242,511
Montgomery v. Caribe Transport II, LLC,24-1238,Sopan Joshi,568,158,388,220,369,355,269,0,564
Montgomery v. Caribe Transport II, LLC,24-1238,Theodore J. Boutrous Jr.,315,636,132,432,136,422,455,0,249
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,24-699,Curtis E. Gannon,169,271,351,957,692,0,409,0,343
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,24-699,Jules L. Lobel,467,335,492,105,29,529,235,143,206
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,24-699,Morgan L. Ratner,639,262,139,580,362,0,252,187,413
Enbridge Energy, LP v. Nessel,24-783,Ann M. Sherman,261,290,781,394,247,0,234,0,296
Enbridge Energy, LP v. Nessel,24-783,John J. Bursch,1468,467,533,699,279,176,396,0,1026
Havana Docks Corp. v. Royal Carribean Cruises,24-983,Aimee W. Brown,302,294,87,218,312,182,386,302,245
Havana Docks Corp. v. Royal Carribean Cruises,24-983,Paul D. Clement,348,693,697,202,314,349,321,701,528
Havana Docks Corp. v. Royal Carribean Cruises,24-983,Richard D. Klingler,785,232,416,247,281,0,350,543,353
Pung v. Isabella County,25-95,Frederick Liu,333,493,78,386,287,307,133,468,179
Pung v. Isabella County,25-95,Matthew T. Nelson,297,302,0,365,404,585,0,308,23
Pung v. Isabella County,25-95,Philip L. Ellison,994,121,910,242,461,477,327,506,631
