case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Hunter v. United States,24-1063,570,86,647,1209,584,994,847,1142,1836
United States v. Hemani,24-1234,589,122,1296,873,926,968,885,1273,1487
Montgomery v. Caribe Transport II, LLC,24-1238,155,331,314,758,565,563,1585,167,1478
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,24-699,113,112,574,1283,1064,704,708,227,1730
Enbridge Energy, LP v. Nessel,24-783,177,102,583,747,299,65,102,1,888
Havana Docks Corp. v. Royal Carribean Cruises,24-983,121,205,741,983,909,314,332,1105,1553
Pung v. Isabella County,25-95,459,290,932,1071,757,1395,279,1014,1987
