Case,Attorney,Docket,total_words
Hunter v. United States,Lisa S. Blatt,24-1063,5243
Hunter v. United States,Zoe A. Jacoby,24-1063,5137
United States v. Hemani,Erin E. Murphy,24-1234,5500
United States v. Hemani,Sarah M. Harris,24-1234,7215
Montgomery v. Caribe Transport II, LLC,Paul D. Clement,24-1238,6273
Montgomery v. Caribe Transport II, LLC,Sopan Joshi,24-1238,2891
Montgomery v. Caribe Transport II, LLC,Theodore J. Boutrous Jr.,24-1238,2777
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,Curtis E. Gannon,24-699,3192
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,Jules L. Lobel,24-699,2541
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,Morgan L. Ratner,24-699,2834
Enbridge Energy, LP v. Nessel,Ann M. Sherman,24-783,2503
Enbridge Energy, LP v. Nessel,John J. Bursch,24-783,5057
Havana Docks Corp. v. Royal Carribean Cruises,Aimee W. Brown,24-983,2328
Havana Docks Corp. v. Royal Carribean Cruises,Paul D. Clement,24-983,4282
Havana Docks Corp. v. Royal Carribean Cruises,Richard D. Klingler,24-983,3207
Pung v. Isabella County,Frederick Liu,25-95,2664
Pung v. Isabella County,Matthew T. Nelson,25-95,2284
Pung v. Isabella County,Philip L. Ellison,25-95,4695
