Case,Docket,Attorney,Time Speaking
Hunter v. United States,24-1063,Lisa S. Blatt,25.77
Hunter v. United States,24-1063,Zoe A. Jacoby,22.98
United States v. Hemani,24-1234,Erin E. Murphy,26.99
United States v. Hemani,24-1234,Sarah M. Harris,35.9
Montgomery v. Caribe Transport II, LLC,24-1238,Paul D. Clement,31.71
Montgomery v. Caribe Transport II, LLC,24-1238,Sopan Joshi,16.31
Montgomery v. Caribe Transport II, LLC,24-1238,Theodore J. Boutrous Jr.,16.28
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,24-699,Curtis E. Gannon,16.22
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,24-699,Jules L. Lobel,17.55
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,24-699,Morgan L. Ratner,17.86
Enbridge Energy, LP v. Nessel,24-783,Ann M. Sherman,17.09
Enbridge Energy, LP v. Nessel,24-783,John J. Bursch,26.32
Havana Docks Corp. v. Royal Carribean Cruises,24-983,Aimee W. Brown,11.44
Havana Docks Corp. v. Royal Carribean Cruises,24-983,Paul D. Clement,21.72
Havana Docks Corp. v. Royal Carribean Cruises,24-983,Richard D. Klingler,21.35
Pung v. Isabella County,25-95,Frederick Liu,16.1
Pung v. Isabella County,25-95,Matthew T. Nelson,13.63
Pung v. Isabella County,25-95,Philip L. Ellison,24.8
