Case,Docket,Attorney,Time Speaking,Total Words
Hunter v. United States,24-1063,Lisa S. Blatt,25.77,5243
Hunter v. United States,24-1063,Zoe A. Jacoby,22.98,5137
United States v. Hemani,24-1234,Erin E. Murphy,26.99,5500
United States v. Hemani,24-1234,Sarah M. Harris,35.9,7215
Montgomery v. Caribe Transport II, LLC,24-1238,Paul D. Clement,31.71,6273
Montgomery v. Caribe Transport II, LLC,24-1238,Sopan Joshi,16.31,2891
Montgomery v. Caribe Transport II, LLC,24-1238,Theodore J. Boutrous Jr.,16.28,2777
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,24-699,Curtis E. Gannon,16.22,3192
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,24-699,Jules L. Lobel,17.55,2541
Exxon Mobil Corp. v. Corporacion Cimex, S.A.,24-699,Morgan L. Ratner,17.86,2834
Enbridge Energy, LP v. Nessel,24-783,Ann M. Sherman,17.09,2503
Enbridge Energy, LP v. Nessel,24-783,John J. Bursch,26.32,5057
Havana Docks Corp. v. Royal Carribean Cruises,24-983,Aimee W. Brown,11.44,2328
Havana Docks Corp. v. Royal Carribean Cruises,24-983,Paul D. Clement,21.72,4282
Havana Docks Corp. v. Royal Carribean Cruises,24-983,Richard D. Klingler,21.35,3207
Pung v. Isabella County,25-95,Frederick Liu,16.1,2664
Pung v. Isabella County,25-95,Matthew T. Nelson,13.63,2284
Pung v. Isabella County,25-95,Philip L. Ellison,24.8,4695
