case_name,combined
Campos-Chavez v. Garland (Cons. w. 22-884),\\ McCloud (4912) \\ Anand (5175)
FBI v. Fikre,\\ Abbas (2916) \\ Joshi (6174)
Sheetz v. County of El Dorado,\\ McGrath (2590) \\ Ross (1895) \\ Beard (3701)
U.S. Trustee v. John Q. Hammons,\\ Geyser (4112) \\ Hansford (3989)
Smith v. Arizona,\\ Samuels (3402) \\ Feigin (2810) \\ Santhanam (3263)
Macquarie Infrastructure Corp. v. Moab Partners,\\ Frederick (1954) \\ McDowell (2029) \\ Coberly (3455)
Devillier v. Texas,\\ Nielson (2372) \\ Kneedler (1841) \\ McNamara (4529)
Relentless Inc. v. Dept. of Commerce,\\ Prelogar (7665) \\ Martinez (7263)
Loper Bright v. Raimondo Sec. of Commerce,\\ Prelogar (4960) \\ Clement (5861)
