short_hand,total_time_spoken,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Pulsifer v. U.S.,49.5,1.71,1.01,4.27,6.09,7.29,7.76,6.02,4.28,11.07
CFPB v. Community Financial Services Assn.,40.2,2.89,2.25,7.3,5.18,6.52,1.56,2.22,1.4,10.88
Acheson Hotels v. Laufer,40.65,5.31,1.71,2.38,7.4,6.51,2,3.59,3.65,8.1
Murray v. UBS Securities,38.01,2.48,1.14,5.46,3.43,4.78,4.82,5.26,3.99,6.65
Greater Lakes Ins. v. Raiders Retreat Realty Co.,25.92,1.84,1.08,2.69,2.18,3.06,1.57,6.4,2.77,4.33
Alexander v. SC Conf. of NAACP,70.46,17.2,1.63,9.85,7.67,9.67,3.83,3.93,2.95,13.73
