case_name,docket,combined,order
Culley v. Marshall,22-585,\\ Dvoretzky \\ LaCour \\ Reaves,1
O'Connor-Ratcliff v. Garner,22-324,\\ Mooppan \\ Joshi \\ Karlan,2
Lindke v. Freed,22-611,\\ Kedem \\ Ferres \\ Hansford,3
Vidal Under Sec. of Comm. v. Elster,22-704,\\ Stewart \\ Taylor \\,4
Dept. of Agric. Rural Dev. v. Kirtz,22-846,\\ Snyder \\ Joshi \\,5
U.S. v. Rahimi,22-915,\\ Prelogar \\ Wright \\,6
Rudisill v. McDonough,22-888,\\ Tseytlin \\ Suri \\,7
