case_name,combined
Pulsifer v. U.S.,\\ Liu (4232) \\ Dvoretzky (5213)
CFPB v. Community Financial Services Assn.,\\ Prelogar (5821) \\ Francisco (4959)
Acheson Hotels v. Laufer,\\ Unikowsky (3771) \\ Ross (2854) \\ Corkran (2784)
Murray v. UBS Securities,\\ Yang (2707) \\ Anand (2834) \\ Scalia (3392)
Greater Lakes Ins. v. Raiders Retreat Realty Co.,\\ Bashman (3043) \\ Wall (4505)
Alexander v. SC Conf. of NAACP,\\ Flynn (2570) \\ Gore (5254) \\ Aden (2542)
