case_name,docket,combined,order
Campos-Chavez v. Garland (Cons. w. 22-884),22-674,\\ McCloud \\ Anand \\,1
FBI v. Fikre,22-1178,\\ Joshi \\ Abbas \\,2
Sheetz v. County of El Dorado,22-1074,\\ Beard \\ McGrath \\ Ross,3
U.S. Trustee v. John Q. Hammons,22-1238,\\ Hansford \\ Geyser \\,4
Smith v. Arizona,22-899,\\ Santhanam \\ Feigin \\ Samuels,5
Macquarie Infrastructure Corp. v. Moab Partners,22-1165,\\ Coberly \\ Frederick \\ McDowell,6
Devillier v. Texas,22-913,\\ McNamara \\ Nielson \\ Kneedler,7
Relentless Inc. v. Dept. of Commerce,22-1219,\\ Martinez \\ Prelogar \\,8
Loper Bright v. Raimondo Sec. of Commerce,22-451,\\ Clement \\ Prelogar \\,9
