short_hand,total_time_spoken,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Brown v. U.S. (Cons. w. 22-6640),37.5,1.78,2.23,2.59,3.39,3.12,6.4,4.23,2.62,11.14
McElrath v. Georgia,26.41,4.65,2.08,3.01,3.54,2.75,4.25,1.51,1.1,3.52
Wilkinson v. Garland,45.84,2.53,0.89,4.18,4.54,6.62,4.17,6.17,7.13,9.61
SEC v. Jarkesy,65.97,6.04,1.01,5.18,8.6,9.3,7.19,7.35,6.22,15.08
Harrington v. Purdue Pharma,38.03,3.77,2.79,1.14,5.25,3.8,2.68,6.72,4.38,7.5
Moore v. U.S.,50.93,2.87,1.75,7.91,7.72,5.13,11.55,3.93,3.98,6.09
Muldrow v. St. Louis,47.7,5.63,2.49,6.64,3.62,4.2,4.4,4.43,4.52,11.77
