case_name,combined
Culley v. Marshall,\\ LaCour (2912) \\ Reaves (1489) \\ Dvoretzky (5506)
O'Connor-Ratcliff v. Garner,\\ Mooppan (5474) \\ Karlan (3756) \\ Joshi (2167)
Lindke v. Freed,\\ Kedem (4257) \\ Hansford (2894) \\ Ferres (2037)
Vidal Under Sec. of Comm. v. Elster,\\ Taylor (3969) \\ Stewart (4827)
Dept. of Agric. Rural Dev. v. Kirtz,\\ Snyder (4717) \\ Joshi (3479)
U.S. v. Rahimi,\\ Prelogar (6845) \\ Wright (5050)
Rudisill v. McDonough,\\ Tseytlin (3554) \\ Suri (3281)
