case_name,docket,combined,order
Brown v. U.S. (Cons. w. 22-6640),22-6389,\\ Green \\ Adler \\ Raynor,1
McElrath v. Georgia,22-721,\\ Simpson \\ Petrany \\,2
Wilkinson v. Garland,22-666,\\ Santos \\ Sinzdak \\,3
SEC v. Jarkesy,22-859,\\ Fletcher \\ McColloch \\,4
Harrington v. Purdue Pharma,23-124,\\ Gannon \\ Garre \\ Shah,5
Moore v. U.S.,22-800,\\ Grossman \\ Prelogar \\,6
Muldrow v. St. Louis,22-193,\\ Wolfman \\ Brown \\ Loeb,7
