case_name,combined
Brown v. U.S. (Cons. w. 22-6640),\\ Adler (3532) \\ Raynor (3565) \\ Green (1991)
McElrath v. Georgia,\\ Simpson (2523) \\ Petrany (3792)
Wilkinson v. Garland,\\ Sinzdak (4161) \\ Santos (4732)
SEC v. Jarkesy,\\ Fletcher (8863) \\ McColloch (4735)
Harrington v. Purdue Pharma,\\ Gannon (6509) \\ Garre (3291) \\ Shah (2364)
Moore v. U.S.,\\ Grossman (6086) \\ Prelogar (8663)
Muldrow v. St. Louis,\\ Brown (2589) \\ Wolfman (3176) \\ Loeb (3178)
