case_name,docket,combined,order
Pulsifer v. U.S.,22-340,\\ Dvoretzky \\ Liu \\,1
CFPB v. Community Financial Services Assn.,22-448,\\ Prelogar \\ Francisco \\,2
Acheson Hotels v. Laufer,22-429,\\ Unikowsky \\ Ross \\ Corkran,3
Murray v. UBS Securities,22-660,\\ Anand \\ Yang \\ Scalia,4
Greater Lakes Ins. v. Raiders Retreat Realty Co.,22-500,\\ Wall \\ Bashman \\,5
Alexander v. SC Conf. of NAACP,22-807,\\ Gore \\ Aden \\ Flynn,6
