sitting,ALITO,BARRETT,GORSUCH,JACKSON,KAGAN,KAVANAUGH,ROBERTS,SOTOMAYOR,THOMAS
October,5789,3391,7057,10543,7682,4620,3441,7001,1400
November,5370,6384,5539,9107,5034,5436,2175,6303,1310
December,5376,4496,5707,10057,8016,6513,3253,8233,1856
January,1491,3456,3249,6859,3791,3437,2042,3883,1019
TOTAL,18026,17727,21552,36566,24523,20006,10911,25420,5585
