sitting,ALITO,BARRETT,GORSUCH,JACKSON,KAGAN,KAVANAUGH,ROBERTS,SOTOMAYOR,THOMAS
October,7000,4195,7978,13292,9208,5930,3779,8729,1635
November,5370,6384,5539,9107,5034,5436,2175,6303,1310
December,5376,4496,5707,10057,8016,6513,3253,8233,1856
January,2273,4456,3980,10026,4497,5172,3174,5571,1235
February,5087,4929,5003,10959,5104,4738,2184,6924,1248
March,2658,4822,4807,7950,4108,2749,1810,5421,849
TOTAL,27764,29282,33014,61391,35967,30538,16375,41181,8133
