Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Trump v. CASA Inc.,24A884,D. John Sauer,860,383,84,733,664,504,819,1016,595
Trump v. CASA Inc.,24A884,Jeremy M. Feigenbaum,890,202,461,1378,455,790,132,851,396
Trump v. CASA Inc.,24A884,Kelsi B. Corkran,344,378,163,187,320,357,970,104,360
