Case,Docket,Attorney,Time Speaking,Total Words
Trump v. CASA Inc.,24A884,D. John Sauer,27.95,5658
Trump v. CASA Inc.,24A884,Jeremy M. Feigenbaum,25.33,5555
Trump v. CASA Inc.,24A884,Kelsi B. Corkran,17.52,3295
