Case,Attorney,Docket,total_words
Trump v. CASA Inc.,D. John Sauer,24A884,5778
Trump v. CASA Inc.,Jeremy M. Feigenbaum,24A884,5776
Trump v. CASA Inc.,Kelsi B. Corkran,24A884,3439
