Case,Docket,Attorney,Time Speaking
Trump v. CASA Inc.,24A884,D. John Sauer,27.95
Trump v. CASA Inc.,24A884,Jeremy M. Feigenbaum,25.33
Trump v. CASA Inc.,24A884,Kelsi B. Corkran,17.52
