sitting,ALITO,BARRETT,GORSUCH,JACKSON,KAGAN,KAVANAUGH,ROBERTS,SOTOMAYOR,THOMAS
October,4389,3017,6285,11129,8502,4506,3887,8212,1596
November,2886,2838,4814,8295,5467,3618,2827,3865,1474
December,3909,5302,4116,10173,5343,4536,3999,5808,1483
January,8422,4433,7676,12096,8258,6013,3739,10189,1490
February,3948,3338,5976,9700,5644,3699,1981,5964,1446
March,4046,5755,8409,10469,8060,5022,2205,7550,1950
TOTAL,27600,24683,37276,61862,41274,27394,18638,41588,9439
