"sitting","case_name","docket","ALITO","BARRETT","GORSUCH","JACKSON","KAGAN","KAVANAUGH","ROBERTS","SOTOMAYOR","THOMAS"
"April","Hikma Pharmaceuticals Usa Inc., Et Al., Petitioners, V. Amarin Pharma, Inc., Et Al., Respondents","24-889",63,181,372,695,200,309,155,381,273
"November","Winston Tyler Hencely, Petitioner, V. Fluor Corporation, Et Al., Respondents","24-924",1044,1118,442,731,469,1895,233,620,297
"March","Flowers Foods, Inc., Et Al., Petitioners, V. Angelo Brock, Respondent","24-935",629,794,1065,1503,579,106,476,584,102
"February","Havana Docks Corporation, Petitioner, V. Royal Caribbean Cruises, Ltd., Et Al., Respondents","24-983",741,1105,314,1553,909,332,121,983,205
"December","Gabriel Olivier, Petitioner, V. City Of Brandon, Mississippi, Et Al., Respondents","24-993",865,162,648,1184,645,73,399,801,227
"April","Markwayne Mullin, Secretary, Department Of Homeland Security, Et Al., Petitioners, V. Dahlia Doe, Et Al., Respondents. Donald J. Trump, President Of The United States, Et Al., Petitioners, V.  ) No. 25-1084 Fritz Emmanuel Lesly Miot, Et Al., Respondents","25-1083",535,349,409,2166,1376,191,343,1340,251
"April","Okello T. Chatrie, Petitioner, V. United States, Respondent","25-112",1025,874,1065,1360,808,975,628,1325,63
"April","T.m., Petitioner, V. University Of Maryland Medical System Corporation, Et Al., Respondents","25-197",247,153,413,1018,669,307,68,638,138
"December","Donald J. Trump, President Of The United States, Et Al., Petitioners, V. Rebecca Kelly Slaughter, Et Al., Respondents","25-332",1340,1543,1256,1883,1643,2138,949,1025,564
"March","Donald J. Trump, President Of The United States, Et Al., Petitioners, V. Barbara, Et Al., Respondents","25-365",1417,1738,1126,1726,858,1084,348,906,242
"April","Federal Communications Commission, Et Al., Petitioners, V. At&T, Inc., Respondent. Verizon Communications Inc., Petitioner, V.  )  No. 25-567 Federal Communications Commission, Et Al., Respondents","25-406",256,448,1063,1200,539,975,312,678,208
"April","Todd Blanche, Acting Attorney General, Petitioner, V. Muk Choi Lau, Respondent","25-429",767,1245,522,1710,784,46,231,908,166
"April","Ongkaruck Sripetch, Petitioner, V. Securities And Exchange Commission, Respondent","25-466",228,368,921,1069,237,80,173,986,164
"March","Kristi Noem, Secretary Of Homeland Security, Et Al., Petitioners, V. Al Otro Lado, A California Corporation, Et Al., Respondents","25-5",208,464,529,1705,1059,1003,333,1353,24
"March","Ahmad Abouammo, Petitioner, V. United States, Respondent","25-5146",717,878,390,1136,498,490,338,522,85
"March","Thomas Keathley, Petitioner, V. Buddy Ayers Construction, Incorporated, Respondent","25-6",245,332,953,862,299,68,384,683,207
"March","Adrian Jules, Petitioner, V. Andre Balazs Properties, Et Al., Respondents","25-83",17,488,180,710,652,396,60,622,176
"February","Michael Pung, Personal Representative Of The Estate Of Timothy Scott Pung, Petitioner, V. Isabella County, Michigan, Respondent","25-95",932,1014,1395,1987,757,279,459,1071,290
"January","Donald J. Trump, President Of The United States, Et Al., Applicants, V. Lisa D. Cook, Member Of The Board Of Governors Of The Federal Reserve System, Respondent","25A312",686,999,652,2312,613,1219,674,1358,135
