Case,Attorney,Docket,total_words
Monsanto Co. v. Durnell,Ashley C. Keller,24-1068,3042
Monsanto Co. v. Durnell,Paul D. Clement,24-1068,4831
Monsanto Co. v. Durnell,Sarah M. Harris,24-1068,2245
Cisco Systems, Inc. v. DOE I,Curtis E. Gannon,24-856,4449
Cisco Systems, Inc. v. DOE I,Kannon K. Shanmugam,24-856,4297
Cisco Systems, Inc. v. DOE I,Paul L. Hoffman,24-856,4023
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,Charles B. Klein,24-889,1363
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,Malcolm L. Stewart,24-889,1998
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,Michael R. Huston,24-889,3959
Mullin, Sec. of Homeland Security v. DOE,Ahilan T. Arulanantham,25-1083,5090
Mullin, Sec. of Homeland Security v. DOE,D. John Sauer,25-1083,4609
Mullin, Sec. of Homeland Security v. DOE,Geoffrey M. Pipoly,25-1083,1770
Chatrie v. United States,Adam G. Unikowsky,25-112,8429
Chatrie v. United States,Eric J. Feigin,25-112,5996
T. M. v. Univ. of MD Medical Sys. Corp.,Elizabeth B. Prelogar,25-197,5171
T. M. v. Univ. of MD Medical Sys. Corp.,Lisa S. Blatt,25-197,2402
FCC v. ATandT,Jeffrey B. Wall,25-406,6993
FCC v. ATandT,Vivek Suri,25-406,3164
Blanche, Acting Atty Gen. v. Lau,Shay Dvoretzky,25-429,3798
Blanche, Acting Atty Gen. v. Lau,Sopan Joshi,25-429,5544
Sripetch v. SEC,Daniel L. Geyser,25-466,5722
Sripetch v. SEC,Malcolm L. Stewart,25-466,2992
