Case,Docket,Attorney,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Monsanto Co. v. Durnell,24-1068,Ashley C. Keller,527,604,280,0,521,0,536,0,574
Monsanto Co. v. Durnell,24-1068,Paul D. Clement,1137,324,0,432,507,560,332,736,803
Monsanto Co. v. Durnell,24-1068,Sarah M. Harris,403,235,0,366,445,116,376,0,304
Cisco Systems, Inc. v. DOE I,24-856,Curtis E. Gannon,682,451,0,617,621,684,914,131,349
Cisco Systems, Inc. v. DOE I,24-856,Kannon K. Shanmugam,927,141,0,792,452,0,93,521,995
Cisco Systems, Inc. v. DOE I,24-856,Paul L. Hoffman,321,813,440,0,654,649,472,331,209
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,24-889,Charles B. Klein,716,202,0,97,0,0,0,0,348
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,24-889,Malcolm L. Stewart,337,383,164,124,282,0,251,0,457
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,24-889,Michael R. Huston,372,255,141,0,917,799,590,673,212
Mullin, Sec. of Homeland Security v. DOE,25-1083,Ahilan T. Arulanantham,618,844,920,779,783,0,463,180,503
Mullin, Sec. of Homeland Security v. DOE,25-1083,D. John Sauer,1228,324,0,500,435,0,718,347,1057
Mullin, Sec. of Homeland Security v. DOE,25-1083,Geoffrey M. Pipoly,276,66,241,107,418,177,0,327,158
Chatrie v. United States,25-112,Adam G. Unikowsky,1766,245,1195,768,984,1044,874,1013,540
Chatrie v. United States,25-112,Eric J. Feigin,1082,230,598,500,1415,894,309,301,499
T. M. v. Univ. of MD Medical Sys. Corp.,25-197,Elizabeth B. Prelogar,956,314,281,697,652,463,585,433,790
T. M. v. Univ. of MD Medical Sys. Corp.,25-197,Lisa S. Blatt,236,203,124,389,779,35,0,0,628
FCC v. ATandT,25-406,Jeffrey B. Wall,1525,248,616,605,458,330,1278,1198,724
FCC v. ATandT,25-406,Vivek Suri,298,92,0,236,495,756,948,127,212
Blanche, Acting Atty Gen. v. Lau,25-429,Shay Dvoretzky,610,145,607,385,219,371,229,947,285
Blanche, Acting Atty Gen. v. Lau,25-429,Sopan Joshi,1372,343,491,803,1187,174,0,545,629
Sripetch v. SEC,25-466,Daniel L. Geyser,1008,248,498,921,423,11,696,1153,758
Sripetch v. SEC,25-466,Malcolm L. Stewart,665,313,0,418,220,831,13,220,312
