case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Monsanto Co. v. Durnell,24-1068,2.63,1.14,0.35,2.76,1.67,2.09,2.4,0.8,6.11
Cisco Systems, Inc. v. DOE I,24-856,2.63,1.19,2.16,12.13,5.24,3.52,3.33,3.57,10.42
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,24-889,1.64,2.19,0.52,2.85,1.1,2.01,1.62,0.9,4.53
Mullin, Sec. of Homeland Security v. DOE,25-1083,2.59,2.21,3.5,10.22,8.28,2.63,1.19,1.87,13.46
Chatrie v. United States,25-112,3.71,0.57,7.61,9.19,4.48,5.82,5.75,4.22,8.14
T. M. v. Univ. of MD Medical Sys. Corp.,25-197,0.74,1.07,1.69,4.75,3.83,2.1,1.94,0.81,5.99
FCC v. ATandT,25-406,2.01,1.64,1.92,4.95,3.1,5.81,5.77,1.99,7.3
Blanche, Acting Atty Gen. v. Lau,25-429,1.58,1.1,4.82,6.68,4.42,2.98,0.31,6.47,10.67
Sripetch v. SEC,25-466,1.42,1.08,1.84,6.76,1.31,4.89,0.49,1.8,6.75
