Case,Docket,Attorney,Time Speaking
Monsanto Co. v. Durnell,24-1068,Ashley C. Keller,16.39
Monsanto Co. v. Durnell,24-1068,Paul D. Clement,26.2
Monsanto Co. v. Durnell,24-1068,Sarah M. Harris,11.68
Cisco Systems, Inc. v. DOE I,24-856,Curtis E. Gannon,23.51
Cisco Systems, Inc. v. DOE I,24-856,Kannon K. Shanmugam,24.69
Cisco Systems, Inc. v. DOE I,24-856,Paul L. Hoffman,24.84
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,24-889,Charles B. Klein,9.9
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,24-889,Malcolm L. Stewart,12.21
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,24-889,Michael R. Huston,20.84
Mullin, Sec. of Homeland Security v. DOE,25-1083,Ahilan T. Arulanantham,26.95
Mullin, Sec. of Homeland Security v. DOE,25-1083,D. John Sauer,22.51
Mullin, Sec. of Homeland Security v. DOE,25-1083,Geoffrey M. Pipoly,10.95
Chatrie v. United States,25-112,Adam G. Unikowsky,35.7
Chatrie v. United States,25-112,Eric J. Feigin,35.22
T. M. v. Univ. of MD Medical Sys. Corp.,25-197,Elizabeth B. Prelogar,26.25
T. M. v. Univ. of MD Medical Sys. Corp.,25-197,Lisa S. Blatt,12.71
FCC v. ATandT,25-406,Jeffrey B. Wall,32.53
FCC v. ATandT,25-406,Vivek Suri,17.47
Blanche, Acting Atty Gen. v. Lau,25-429,Shay Dvoretzky,19.94
Blanche, Acting Atty Gen. v. Lau,25-429,Sopan Joshi,30.56
Sripetch v. SEC,25-466,Daniel L. Geyser,27.51
Sripetch v. SEC,25-466,Malcolm L. Stewart,17.04
