Case,Docket,Attorney,Time Speaking,Total Words
Monsanto Co. v. Durnell,24-1068,Ashley C. Keller,16.39,3042
Monsanto Co. v. Durnell,24-1068,Paul D. Clement,26.2,4831
Monsanto Co. v. Durnell,24-1068,Sarah M. Harris,11.68,2245
Cisco Systems, Inc. v. DOE I,24-856,Curtis E. Gannon,23.51,4449
Cisco Systems, Inc. v. DOE I,24-856,Kannon K. Shanmugam,24.69,4297
Cisco Systems, Inc. v. DOE I,24-856,Paul L. Hoffman,24.84,4023
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,24-889,Charles B. Klein,9.9,1363
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,24-889,Malcolm L. Stewart,12.21,1998
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,24-889,Michael R. Huston,20.84,3959
Mullin, Sec. of Homeland Security v. DOE,25-1083,Ahilan T. Arulanantham,26.95,5090
Mullin, Sec. of Homeland Security v. DOE,25-1083,D. John Sauer,22.51,4609
Mullin, Sec. of Homeland Security v. DOE,25-1083,Geoffrey M. Pipoly,10.95,1770
Chatrie v. United States,25-112,Adam G. Unikowsky,35.7,8429
Chatrie v. United States,25-112,Eric J. Feigin,35.22,5996
T. M. v. Univ. of MD Medical Sys. Corp.,25-197,Elizabeth B. Prelogar,26.25,5171
T. M. v. Univ. of MD Medical Sys. Corp.,25-197,Lisa S. Blatt,12.71,2402
FCC v. ATandT,25-406,Jeffrey B. Wall,32.53,6993
FCC v. ATandT,25-406,Vivek Suri,17.47,3164
Blanche, Acting Atty Gen. v. Lau,25-429,Shay Dvoretzky,19.94,3798
Blanche, Acting Atty Gen. v. Lau,25-429,Sopan Joshi,30.56,5544
Sripetch v. SEC,25-466,Daniel L. Geyser,27.51,5722
Sripetch v. SEC,25-466,Malcolm L. Stewart,17.04,2992
