case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Monsanto Co. v. Durnell,24-1068,395,141,70,357,251,358,427,159,912
Cisco Systems, Inc. v. DOE I,24-856,379,133,354,1538,915,600,533,689,1693
Hikma Pharmaceuticals USA Inc. v. Amarin Pharma, Inc.,24-889,155,273,63,381,200,372,309,181,695
Mullin, Sec. of Homeland Security v. DOE,25-1083,343,251,535,1340,1376,409,191,349,2166
Chatrie v. United States,25-112,628,63,1025,1325,808,1065,975,874,1360
T. M. v. Univ. of MD Medical Sys. Corp.,25-197,68,138,247,638,669,413,307,153,1018
FCC v. ATandT,25-406,312,208,256,678,539,1063,975,448,1200
Blanche, Acting Atty Gen. v. Lau,25-429,231,166,767,908,784,522,46,1245,1710
Sripetch v. SEC,25-466,173,164,228,986,237,921,80,368,1069
