case_name,docket,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
FDA v. Wages and White Lion Investments,23-1038,275,98,474,422,826,836,803,422,1180
United States v. Skrmetti,23-477,867,347,1638,1313,810,0,1615,1299,2385
Feliciano v. Department of Transportation.,23-861,562,87,334,731,377,671,587,373,464
Hungary v. Simon,23-867,764,232,408,760,672,619,454,679,1152
Dewberry Group, Inc. v. Dewberry Engineers Inc.,23-900,406,328,217,471,460,315,0,369,765
Kousisis v. United States,23-909,430,203,640,413,644,904,268,525,1085
Seven County Infrastructure Coalition v. Eagle County,23-975,523,109,103,1209,975,0,580,682,1676
United States v. Miller,23-824,50,36,0,209,361,580,63,730,1055
