attorney,total_arguments_OT24,gender,repeat_attorney,total_SCOTUS_arguments,law_school,ivy,scotus_clerk,firm,SG_experience,oyez_link,OT24_Cases
Derek L. Shaffer,1,,1,3,Stanford Law School,,,"Quinn Emanuel Urquhart & Sullivan, LLP",,,"Free Speech Coalition, Inc., et al. v. Ken Paxton, Attorney General of Texas"
Easha Anand,1,,1,4,UC Berkeley,,Sonia Sotomayor,Stanford Law School (Lecturer in Law),,,"Medical Marijuana, Inc., et al. v. Douglas J. Horn"
"Edmund G. LaCour, Jr.",1,,1,3,Yale Law School,,,Office of the Alabama Solicitor General,,,"Nancy Williams, et al. v. Fitzgerald Washington, Alabama Secretary of Labor"
Edward D. Greim,1,,0,1,Harvard Law School,,,Graves Garrett LLC,,,"Louisiana v. Phillip Callais, et al.; and Press Robinson, et al. v. Phillip Callais, et al."
Edwin S. Kneedler,3,,1,160,University of Virginia School of Law,,,"Office of the Solicitor General, U.S. DOJ",,,"Seven County Infrastructure Coalition, et al. v. Eagle County, Colorado, et al. (for federal respondents supporting petitioners); United States v. Palestine Liberation Organization, et al.; Diamond Alternative Energy, LLC, et al. v. Environmental Protection Agency, et al. (for federal respondents)"
Elbert Lin,1,,0,2,Yale Law School,,Sonia Sotomayor,Hunton Andrews Kurth LLP,,,"Dewberry Group, Inc., fka Dewberry Capital Corporation v. Dewberry Engineers Inc."
Elizabeth B. Prelogar,2,,1,36,Harvard Law School,,Ruth Bader Ginsburg; Elena Kagan,Harvard Law School,,,"Merrick B. Garland, Attorney General, et al. v. Jennifer VanDerStok, et al.; United States v. Jonathan Skrmetti, Attorney General and Reporter for Tennessee, et al."
Ephraim McDowell,2,,1,5,Harvard Law School,,Elena Kagan,Cooley LLP* (As of two hours ago),,,"Advocate Christ Medical Center, et al. v. Xavier Becerra, Secretary of Health and Human Services; Pierre Yassue Nashun Riley v. Pamela Bondi, Attorney General (for respondent in support of petitioner)"
Eric C. Rassbach,1,,1,2,Harvard Law School,,,The Becket Fund for Religious Liberty,,,"Catholic Charities Bureau, Inc., et al. v. Wisconsin Labor & Industry Review Commission, et al."
Eric J. Feigin,2,,1,38,Stanford Law School,,Stephen Breyer,"Office of the Solicitor General, U.S. DOJ (can't verify)",,,"Salvatore Delligatti v. United States; Stamatios Kousisis and Alpha Painting and Construction Co., Inc. v. United States"
Eric N. Heyer,1,,0,1,George Washington University Law School,,,Thompson Hine LLP,,,"Food and Drug Administration v. Wages and White Lion Investments, L.L.C., dba Triton Distribution, et al."
Eric S. Baxter,1,,0,1,Brigham Young University,,,The Becket Fund for Religious Liberty,,,"Tamer Mahmoud, et al. v. Thomas W. Taylor, et al."
Erica L. Ross,1,,1,16,Stanford Law School,,Elena Kagan,"Office of the Solicitor General, U.S. DOJ",,,Commissioner of Internal Revenue v. Jennifer Zuch
Erika L. Maley,1,,0,1,Stanford Law School,,,Office of the Solicitor General of Virginia,,,"Gerald F. Lackey... v. Damian Stinnie, et al."
Frederick Liu,3,,1,17,Yale Law School,,John Roberts,"Office of the Solicitor General, U.S. DOJ",,,"City and County of San Francisco, California v. Environmental Protection Agency; Curtrina Martin, et al. v. United States, et al.; Karyn D. Stanley v. City of Sanford, Florida (for United States, as amicus curiae)"
Gerard J. Cedrone,1,,0,1,Harvard Law School,,Neil Gorsuch* (On 10th Circuit),"Massachusetts Office of the Attorney General
",,,"Hugo Abisai Monsalvo Velazquez v. Merrick B. Garland, Attorney General"
Gregory G. Garre,1,,1,50,George Washington University Law School,,William Rehnquist,Latham & Watkins LLP,,,"Oklahoma Statewide Charter School Board, et al. v. Gentner Drummond, Attorney General of Oklahoma, ex rel. Oklahoma"
Hashim M. Mooppan,1,,1,6,Yale Law School,,Anthony Kennedy,"Office of the Solicitor General, U.S. DOJ",,,"Robert F. Kennedy, Jr., Secretary of Health and Human Services, et al. v. Braidwood Management, Inc., et al."
J. Benjamin Aguinaga,1,,1,2,Louisiana State University Paul M. Hebert Law Center,,,Office of the Solicitor General of Louisiana,,,"Louisiana v. Phillip Callais, et al."
