Docket,Case,Lower Ct,Petitioner,Respondent,Amicus,Cert Amici,Merits Amici
23–1127,"Wisconsin Bell, Inc. v. United States, ex rel. Todd Heath.",C. A. 7th Circuit.,Allyson Ho,Tejinder Singh, Vivek Suri,2,9
23–715,"Advocate Christ Medical Center, et al. v. Xavier Becerra, Secretary of Health and Human Services.",C. A. District of Columbia Circuit.,Melissa Arbus Sherry,Ephraim McDowell,,1,3
23–217,"E.M.D. Sales, Inc., et al. v. Faustino Sanchez Carrera, et al.",C. A. 4th Circuit.,Lisa S. Blatt,Lauren E. Bateman, Aimee W. Brown,3,6
23–980,"Facebook, Inc., et al. v. Amalgamated Bank, et al.",C. A. 9th Circuit.,Kannon Shanmugam,Kevin K. Russell , Kevin J. Barber,3,9
23–929,"Hugo Abisai Monsalvo Velazquez v. Merrick B. Garland, Attorney General.",C. A. 10th Circuit.,Gerard J. Cedrone,Anthony A. Yang,,0,3
23–825,Salvatore Delligatti v. United States.,C. A. 2nd Circuit.,Allon Kedem,Eric J. Feigin,,2,3
23–970,"NVIDIA Corporation, et al. v. E. Ohman J:or Fonder AB, et al.",C. A. 9th Circuit.,Neal K. Katyal,Deepak Gupta, Colleen R. Sinzdak,4,13
