Docket,Case,Lower Court,Petitioner,Respondent,Arguing Amicus,Cert Amicus Briefs,Merits Amicus Briefs
23–7809,"Ruben Gutierrez v. Luis Saenz, et al.",C. A. 5th Circuit.,Anne E. Fisher,William F. Cole,,0,2
23–7483,Edgardo Esteras v. United States.,C. A. 6th Circuit.,Christian Grostic,Masha Hansford,,0,1
23–1324,Thomas Perttu v. Kyle Brandon Richards.,C. A. 6th Circuit.,Ann M. Sherman,Lori Alvino McGill,,0,6
23–1039,Marlean A. Ames v. Ohio Department of Youth Services.,C. A. 6th Circuit.,Xiao Want,T. Elliot Gaiser,Ashley Robertson,0,11
23–1201 / 24-17,CC/Devas ,C.A. 9th Circuit.,Aaron Strett and Matthew D. McGill,Carter Phillips,Sarah M. Harris,0,10
23–1259,"BLOM Bank SAL v. Michal Honickman, et al.",C. A. 2nd Circuit.,Michael McGInley,Michael Radine,,0,0
23–1141,"Smith & Wesson Brands, Inc., et al. v. Estados Unidos Mexicanos.",C. A. 1st Circuit.,Noel J. Francisco,Catherine E. Stetson,,14,29
23–1300 / 23-1312,"Nuclear Regulatory Commission, et al. v. Texas, et al.; and No. 23–1312. Interim Storage Partners, LLC v. Texas, et al.",C. A. 5th Circuit.,Marlcolm Stewart / Brad Fagg,Aaron Nielson and David C. Frederick,,1,12
