Date,Docket,Case,Lower.Ct,Petitioner,Respondent,Amicus
"Monday, December 2, 2024",23–1038,"Food and Drug Administration v. Wages and White Lion Investments, L.L.C., dba Triton Distribution, et al.",C. A. 5th Circuit.,Curtis Gannon,Eric Heyer,
"Monday, December 2, 2024",23–824,United States v. David L. Miller.,C. A. 10th Circuit.,Yaira Dubin,Lisa S. Blatt,
"Tuesday, December 3, 2024",23–867,"Republic of Hungary, et al. v. Rosalie Simon, et al.",C. A. District of Columbia Circuit.,Joshua S. Glasgow,Shay Dvoretzy,Sopan Joshi
"Wednesday, December 4, 2024",23–477,"United States v. Jonathan Skrmetti, Attorney General and Reporter for Tennessee, et al.",C. A. 6th Circuit.,Elizabeth Prelogar,Matthew Rice,
"Monday, December 9, 2024",23–909,"Stamatios Kousisis and Alpha Painting and Construction Co., Inc. v. United States",C. A. 3rd Circuit.,Jeffrey L. Fisher,Eric J. Feigin,
"Monday, December 9, 2024",23–861,Nick Feliciano v. Department of Transportation.,C. A. Federal Circuit.,Andrew T. Tutt,Nicole F. Reaves,
"Tuesday, December 10, 2024",23–975,"Seven County Infrastructure Coalition, et al. v. Eagle County, Colorado, et al.",C. A. District of Columbia Circuit.,"Paul D. Clement, Edwin Kneedler",William M. Jay,
"Wednesday, December 11, 2024",23–900,"Dewberry Group, Inc., fka Dewberry Capital Corporation v. Dewberry Engineers Inc.",C. A. 4th Circuit.,Thomas G. Hungar,Elbert Lin,Nicholas S. Crown
