"case","authorship","opinion_type","word_count"
"Seven County Infrastructure Coalition v. Eagle County","Sotomayor","Special Concurrence",3005
"Facebook v. Amalgamated Bank","Per Curiam","Per Curiam",13
"Stanley v. City of Sanford","Gorsuch","Opinion",5265
"Stanley v. City of Sanford","Thomas","Special Concurrence",2575
"Stanley v. City of Sanford","Sotomayor","Special Concurrence",384
"Stanley v. City of Sanford","Jackson","Dissent",6860
"Catholic Charities Bureau v. WI Labor and Industry Review","Sotomayor","Opinion",4102
"Catholic Charities Bureau v. WI Labor and Industry Review","Thomas","Concurrence",4541
"Catholic Charities Bureau v. WI Labor and Industry Review","Jackson","Concurrence",2702
"Fuld v. PLO","Roberts","Opinion",5979
"Fuld v. PLO","Thomas","Special Concurrence",5966
"A.J.T. v. Osseo Area Schools","Roberts","Opinion",3911
"A.J.T. v. Osseo Area Schools","Thomas","Concurrence",1373
"A.J.T. v. Osseo Area Schools","Sotomayor","Concurrence",1287
"Parrish v. United States","Sotomayor","Opinion",3716
"Parrish v. United States","Jackson","Special Concurrence",754
"Parrish v. United States","Gorsuch","Dissent",254
"Mahmoud v. Taylor","Alito","Opinion",11928
"Mahmoud v. Taylor","Thomas","Concurrence",3289
"Mahmoud v. Taylor","Sotomayor","Dissent",10702
"Laboratory Corp. of America v. Davis","Per Curiam",NA,13
"Laboratory Corp. of America v. Davis","Kavanaugh","Dissent",1667
"Kennedy v. Braidwood MGMT","Kavanaugh","Opinion",12137
"Kennedy v. Braidwood MGMT","Thomas","Dissent",10459
"Soto v. United States","Thomas","Opinion",3748
"FCC v. Consumers' Research","Kagan","Opinion",10363
"FCC v. Consumers' Research","Kavanaugh","Concurrence",3118
"FCC v. Consumers' Research","Jackson","Concurrence",219
"FCC v. Consumers' Research","Gorsuch","Dissent",10320
"Martin v. United States","Gorsuch","Opinion",5328
"Martin v. United States","Sotomayor","Concurrence",1708
"OK Charter School Board v. Drummond","Per Curiam","Per Curiam",22
"Commissioner of IRS v. Zuch","Barrett","Opinion",2367
"Commissioner of IRS v. Zuch","Gorsuch","Dissent",3137
"TikTok Inc. v. Garland","Per Curiam","Per Curiam",5418
"TikTok Inc. v. Garland","Sotomayor","Concurrence",217
"TikTok Inc. v. Garland","Gorsuch","Concurrence",1353
"Diamond Alternative Energy v. EPA","Kavanaugh","Opinion",6203
"Diamond Alternative Energy v. EPA","Sotomayor","Dissent",697
"Diamond Alternative Energy v. EPA","Jackson","Dissent",4891
"A.A.R.P v. Trump","Per Curiam","Per Curiam",2396
"A.A.R.P v. Trump","Kavanaugh","Concurrence",333
"A.A.R.P v. Trump","Alito","Dissent",4355
"Trump v. CASA Inc.","Barrett","Opinion",5703
"Trump v. CASA Inc.","Barrett","Opinion",858
"Trump v. CASA Inc.","Barrett","Opinion",2030
"Trump v. CASA Inc.","Thomas","Concurrence",1285
"Trump v. CASA Inc.","Alito","Concurrence",857
"Trump v. CASA Inc.","Kavanaugh","Concurrence",3460
"Trump v. CASA Inc.","Sotomayor","Dissent",13825
"Trump v. CASA Inc.","Jackson","Dissent",7198
"Department of Education v. California","Per Curiam","Per Curiam",655
"Department of Education v. California","Kagan","Dissent",290
"Department of Education v. California","Jackson","Dissent",5197
"Trump v. J.G.G.","Per Curiam","Per Curiam",994
"Trump v. J.G.G.","Kavanaugh","Concurrence",288
"Trump v. J.G.G.","Sotomayor","Dissent",5196
"Trump v. J.G.G.","Jackson","Dissent",408
