Case,Docket,Date Argued,Date Decided,Lower Court,Decision,Author,Coalition
Smith and Wesson v. Estados Unidos Mexicanos,23-1141,03/04/25,06/05/25,CA1,Reverse and Remand,Kagan,(9-0)
Catholic Charities Bureau v. WI Labor and Industry Review,24-154,03/31/25,06/05/25,SCWI,Reverse and Remand,Sotomayor,(9-0)
CC/Devas v. Antrix Corp.,23-1201 (24-17),03/03/25,06/05/25,CA9 (CA9),Reverse and Remand,Alito,(9-0)
BLOM Bank SAL v. Honickman,23-1259,03/03/25,06/05/25,CA2,Reverse and Remand,Thomas,(9-0)
A.J.T. v. Osseo Area Schools,24-249,04/28/25,06/12/25,CA8,Vacate and Remand,Roberts,(9-0)
Soto v. United States,24-320,04/28/25,06/12/25,CAFED,Reverse and Remand,Thomas,(9-0)
Parrish v. United States,24-275,04/21/25,06/12/25,CA4,Reverse and Remand,Sotomayor,(8-1)
Martin v. United States,24-362,04/29/25,06/12/25,CA8,Vacate and Remand,Gorsuch,(9-0)
Commissioner of IRS v. Zuch,24-416,04/22/25,06/12/25,CA3,Reverse and Remand,Barrett,(8-1)
Rivers v. Guerrero,23-1345,03/31/25,06/12/25,CA5,Affirm,Jackson,(9-0)
