Justice,Majority,Concurrence,Dissent
Alito,3,3,2
Barrett,2,1,2
Gorsuch,3,2,2
Jackson,2,3,5
Kagan,3,0,1
Kavanaugh,2,3,1
Roberts,2,0,0
Sotomayor,3,4,1
Thomas,2,1,7
