Case,Docket,Author,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Smith and Wesson v. Estados Unidos Mexicanos,23-1141,Kagan,M,RC,M,M,M*,M,M,M,RC
Catholic Charities Bureau v. WI Labor and Industry Review,24-154,Sotomayor,M,RC,M,M*,M,M,M,M,RC
CC/Devas v. Antrix Corp.,23-1201,Alito,M,M,M*,M,M,M,M,M,M
BLOM Bank SAL v. Honickman,23-1259,Thomas,M,M*,M,M,M,M,M,M,SC
A.J.T. v. Osseo Area Schools,24-249,Roberts,M*,RC,M,RC,JRC,M,JRC,M,M
Soto v. United States,24-320,Thomas,M,M*,M,M,M,M,M,M,M
Parrish v. United States,24-275,Sotomayor,M,JCJ,M,M,M,D,M,M,CJ
Martin v. United States,24-362,Gorsuch,M,M,M,RC,M,M*,M,M,JRC
Commissioner of IRS v. Zuch,24-416,Barrett,M,M,M,M,M,D,M,M*,M
Rivers v. Guerrero,23-1345,Jackson,M,M,M,M,M,M,M,M,M*
