Case,Docket,Author,ROBERTS,THOMAS,ALITO,SOTOMAYOR,KAGAN,GORSUCH,KAVANAUGH,BARRETT,JACKSON
Trump v. J.G.G.,24A931,Per Curiam,M,M,M,D,JD,M,RC,JSC,JD
Cunningham v. Cornell University,23-1007,Sotomayor,M,JRC,RC,M*,M,M,JRC,M,M
Velazquez v. Garland,23-929,Gorsuch,M,D,D-JD,M,M,M*,JD,D-JD,M
Advocate Christ Medical Center v. Becerra,23-715,Barrett,M,M,M,JD,M,M,M,M*,D
Feliciano v. Department of Transportation.,23-861,Gorsuch,M,D,JD,M,JD,M*,M,M,JD
Barnes v. Felix,23-1239,Kagan,M,JRC,JRC,M,M*,M,RC,JRC,M
A.A.R.P v. Trump,24A1007,Per Curiam,M,JD,D,M,M,M,RC,M,M
Kousisis v. United States,23-909,Barrett,M,RC,M,CJ,M,SC,M,M*,M
OK Charter School Board v. Drummond,24-394,Per Curiam,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP,DNP
Seven County Infrastructure Coalition v. Eagle County,23-975,Kavanaugh,M,M,M,CJ,JCJ,M,M*,M,JCJ
Laboratory Corp. of America v. Davis,24-304,Per Curiam,M,M,M,M,M,M,M,M,M
Ames v. OH Dept. of Youth Services,23-1039,Jackson,M,RC,M,M,M,JRC,M,M,M*
